generation,section,smiles,coordList,functionalization,success_prob
0,bottom,C[Si](C)(C)c1cc(cc(c1)[Si](C#CP(C#C[Si](c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)(c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)C#C[Si](c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)(c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)(c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,[13],"[{'functional_group': 'ketone', 'smiles_inds': [81]}]",2.3356590372266944e-20
0,bottom,CCCOc1c2Cc3cc(cc(Cc4cccc(Cc5cc(cc(Cc1ccc2)c5OCCC)c1cccc(c1)c1cc2Cc5cccc(Cc6cc(cc(Cc7cccc(Cc(c1)c2OCCC)c7OCCC)c6OCCC)P(c1ccccc1)c1ccccc1)c5OCCC)c4OCCC)c3OCCC)P(c1ccccc1)c1ccccc1,"[107, 79]",[],9.175704221860546e-14
0,bottom,C[Si](C)(C)C(c1cc(C([Si](C)(C)C)[Si](C)(C)C)c(Sc2ccccc2Sc2ccccc2Sc2ccccc2Sc2c(cc(cc2C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)c(c1)C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,"[25, 32]","[{'functional_group': 'amide', 'smiles_inds': [11]}]",1.0316042659145913e-13
0,bottom,C[Si](C)(C)c1cc(cc(c1)[Si](C)(C)C)C(C(=O)Nc1cccc(NC(=O)C(c2cc(cc(c2)[Si](C)(C)C)[Si](C)(C)C)(c2cc(cc(c2)[Si](C)(C)C)[Si](C)(C)C)c2cc(cc(c2)[Si](C)(C)C)[Si](C)(C)C)c1[S-])(c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C,"[70, 16]",[],1.496130292692272e-13
0,bottom,C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(cc1)P(CCP(c1ccc(cc1)[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(cc1)[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(cc1)[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"[30, 33]","[{'functional_group': 'bromo', 'smiles_inds': [72]}, {'functional_group': 'tribromo', 'smiles_inds': [39]}]",5.307400348150088e-13
0,bottom,C1CCCCCCCCCCP2CCCCCCCCCCCCCCCCCCCCP(CCCCCCCCC1)CCCCCCCCCCCCCCCCCCCC2,"[11, 32]",[],3.3674288453549714e-12
0,bottom,C[Si](C)(C)C(c1cc(C([Si](C)(C)C)[Si](C)(C)C)c([Se]c2ccccc2[Se]c2ccccc2[Se]c2ccccc2[Se]c2c(cc(cc2C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)c(c1)C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,"[25, 32]","[{'functional_group': 'phosphonate', 'smiles_inds': [48]}, {'functional_group': 'tribromo', 'smiles_inds': [83]}]",3.3692879084478733e-12
0,bottom,CCC(C)(C)c1cc(C(c2cc(cc(c2OCCCNC(=O)CP(=S)(c2ccccc2)c2ccccc2)C(C)(C)CC)C(C)(C)CC)c2cc(cc(c2OCCCNC(=O)CP(=S)(c2ccccc2)c2ccccc2)C(C)(C)CC)C(C)(C)CC)c(OCCCNC(=O)CP(=S)(c2ccccc2)c2ccccc2)c(c1)C(C)(C)CC,"[21, 59, 92]",[],9.25428806343783e-12
0,bottom,Cc1cc(C(c2ccc(cc2)C2CCCCC2)c2ccc(cc2)C2CCCCC2)c(N=C(C)C(C)=Nc2c(cc(C)cc2C(c2ccc(cc2)C2CCCCC2)c2ccc(cc2)C2CCCCC2)C(c2ccc(cc2)C2CCCCC2)c2ccc(cc2)C2CCCCC2)c(c1)C(c1ccc(cc1)C1CCCCC1)c1ccc(cc1)C1CCCCC1,"[30, 35]",[],2.2486834371103744e-11
0,bottom,O1N=C(c2ccncc2)C23C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C%13C%13C%12C9C9C8C8C6C6C%12C%18C%19C%20C(C%17C%17C%13C9=C(C8%12)C%19%17)C%16C8C9C%15C%12C%14C%11C%11C%10C7C5C5C%11C%12C(=C9C7=C2C(C%18C%20C87)C46)C135,[6],"[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [47]}]",3.573742320951083e-11
0,bottom,CCCCCCCCCCCC1c2cc3C(CCCCCCCCCCC)c4cc5C(CCCCCCCCCCC)c6cc(C(CCCCCCCCCCC)c7cc1c(OCCOCCOCCOCCOc3cc2OC)cc7OC)c(OCCOCCOCCOCCOc5cc4OC)cc6OC,"[87, 90, 102]",[],5.330121314791141e-11
0,bottom,CC(C)(C)c1cc2c(OP(Oc3c2cc(cc3C(C)(C)C)C(C)(C)C)O[Si]2(O[Si]3(O[Si](OP4Oc5c(cc(cc5C(C)(C)C)C(C)(C)C)c5cc(cc(c5O4)C(C)(C)C)C(C)(C)C)(O[Si]4(O[Si](O3)(O[Si](O2)(O[Si](O4)(O[Si](C)(c2ccccc2)c2ccccc2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)c(c1)C(C)(C)C,"[9, 32]","[{'functional_group': 'carboxylate', 'smiles_inds': [41]}, {'functional_group': 'phosphonate', 'smiles_inds': [108]}, {'functional_group': 'amide', 'smiles_inds': [118]}]",1.2797067488162886e-10
0,bottom,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCP(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)Cc1cccc(CP(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[c-]1,"[27, 62, 117]","[{'functional_group': 'ketone', 'smiles_inds': [57]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [28]}]",1.3572426805620639e-10
0,bottom,CC(C)(C)c1cc2c(OP(Oc3c2cc(cc3C(C)(C)C)C(C)(C)C)O[Si]2(O[Si]3(O[Si](OP4Oc5c(cc(cc5C(C)(C)C)C(C)(C)C)c5cc(cc(c5O4)C(C)(C)C)C(C)(C)C)(O[Si]4(O[Si](O3)(O[Si](O2)(O[Si](O4)(O[Si](C)(c2ccccc2)c2ccccc2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)c(c1)C(C)(C)C,"[9, 32]",[],2.389928895593486e-10
0,bottom,CC(C)(C)c1cc2c(OP(Oc3c2cc(cc3C(C)(C)C)C(C)(C)C)O[Si]2(O[Si]3(O[Si](OP4Oc5c(cc(cc5C(C)(C)C)C(C)(C)C)c5cc(cc(c5O4)C(C)(C)C)C(C)(C)C)(O[Si]4(O[Si](O3)(O[Si](O2)(O[Si](O4)(O[Si](C)(c2ccccc2)c2ccccc2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)C2CCCC2)c(c1)C(C)(C)C,"[9, 32]","[{'functional_group': 'cyano', 'smiles_inds': [13]}]",2.4572229650867155e-10
0,bottom,CCC1(CC)CC(CC)(CC)c2c(PCc3cccc(C=Pc4c5c(cc6c4C(CC)(CC)CC6(CC)CC)C(CC)(CC)CC5(CC)CC)n3)c3c(cc12)C(CC)(CC)CC3(CC)CC,"[13, 21, 50]",[],2.909843499810256e-10
0,bottom,C1CCCCCCCCP2CCCCCCCCCCCCCCCCP(CCCCCCC1)CCCCCCCCCCCCCCCC2,"[9, 26]",[],5.981794591296726e-10
0,bottom,CCC1(CC)CC(CC)(CC)c2c(PCc3cccc(C=Pc4c5c(cc6c4C(CC)(CC)CC6(CC)CC)C(CC)(CC)CC5(CC)CC)n3)c3c(cc12)C(CC)(CC)CC3(CC)CC,"[13, 21, 50]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [43]}, {'functional_group': 'thiol', 'smiles_inds': [65]}]",6.413986622167191e-10
0,bottom,CCC1(CC)CC(CC)(CC)c2c1cc1c(c2P=Cc2cccc(C=Pc3c4c(cc5c3C(CC)(CC)CC5(CC)CC)C(CC)(CC)CC4(CC)CC)n2)C(CC)(CC)CC1(CC)CC,"[17, 25, 54]","[{'functional_group': 'carbonyl', 'smiles_inds': [21]}]",6.88495468616711e-10
