generation,num_proposed,num_retained,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto
1,0,0,0,0,0,0,11,11
2,10000,500,0.539755,,1.0,,8,8
3,10000,500,0.079283,,0.8739999999999999,,5,9
4,10000,500,0.028502000000000003,,0.30210000000000004,,4,12
5,10000,500,0.008397,,0.1387,,3,13
6,10000,500,0.005512,,0.12259999999999999,,5,14
7,10000,500,0.005278,,0.0953,,3,16
8,10000,500,0.004112,,0.1174,,2,18
9,10000,500,0.004953000000000001,,0.11060000000000002,,1,19
10,10000,500,0.003941,,0.0966,,1,20
11,10000,500,0.00468,,0.11320000000000001,,5,24
12,10000,500,0.00477,,0.10609999999999997,,1,25
13,10000,500,0.0031890000000000004,,0.0724,,2,26
14,10000,500,0.003138,,0.0649,,2,21
15,10000,500,0.0038760000000000005,,0.09789999999999999,,0,21
16,10000,500,0.003919,,0.1209,,3,24
17,10000,500,0.003192,,0.08,,2,13
18,10000,500,0.002503,,0.08130000000000001,,3,16
19,10000,500,0.002322,,0.056799999999999996,,0,16
20,10000,500,0.0029799999999999996,,0.07560000000000001,,2,18
21,10000,500,0.002629,,0.06059999999999999,,1,15
22,10000,500,0.0027719999999999997,,0.0825,,0,15
23,10000,500,0.0023,,0.0691,,1,16
24,10000,500,0.002607,,0.0556,,2,18
25,10000,500,0.002339,,0.06212121212121212,,0,18
26,10000,500,0.002386,,0.06269999999999999,,1,19
27,10000,500,0.0022480000000000004,,0.0553,,1,20
28,10000,500,0.0019910000000000006,,0.0472,,1,19
29,10000,500,0.002216,,0.0662,,0,19
30,10000,500,0.002666,,0.0704,,0,19
31,10000,500,0.001872,,0.05999999999999999,,1,18
32,10000,500,0.0022370000000000003,,0.07323232323232323,,0,18
33,10000,500,0.0027450000000000005,,0.07519999999999999,,0,18
34,10000,500,0.001707,,0.0515,,0,18
35,10000,500,0.001935,,0.05660000000000001,,0,18
36,10000,500,0.001265,,0.051010101010101,,1,17
37,10000,500,0.0020090000000000004,,0.05949999999999999,,1,18
38,10000,500,0.0020300000000000006,,0.051299999999999985,,1,19
39,10000,500,0.001368,,0.053899999999999997,,0,19
40,10000,500,0.001604,,0.0452,,0,19
41,10000,500,0.0014370000000000001,,0.0492,,0,19
42,10000,500,0.001818,,0.0492,,1,20
43,10000,500,0.001407,,0.04819999999999999,,1,18
44,10000,500,0.0014550000000000001,,0.048600000000000004,,0,18
45,10000,500,0.0012519999999999999,,0.0333,,0,18
46,10000,500,0.0016020000000000003,,0.048799999999999996,,0,18
47,10000,500,0.001852,,0.0591,,0,18
48,10000,500,0.001364,,0.050499999999999996,,0,18
49,10000,500,0.001498,,0.0526,,0,18
50,10000,500,0.001347,,0.0414,,0,18
51,10000,500,0.00117,,0.0437,,0,18
52,10000,500,0.001477,,0.04039999999999999,,0,18
53,10000,500,0.0017290000000000003,,0.0475,,0,18
54,10000,500,0.001382,,0.0393,,0,18
55,10000,500,0.0011750000000000003,,0.04,,0,18
56,10000,500,0.0018230000000000004,,0.0504,,0,18
57,10000,500,0.0011300000000000001,,0.0374,,0,18
58,10000,500,0.001854,,0.05369999999999999,,0,18
59,10000,500,0.0018910000000000003,,0.0629,,0,18
60,10000,500,0.001506,,0.0516,,0,18
61,10000,500,0.0016899999999999999,,0.051100000000000007,,0,18
62,10000,500,0.001415,,0.049199999999999994,,0,18
63,10000,500,0.0013280000000000002,,0.0574,,1,19
64,10000,500,0.001433,,0.048100000000000004,,0,19
65,10000,500,0.001484,,0.037500000000000006,,0,19
66,10000,500,0.001343,,0.044040404040404046,,0,19
67,10000,500,0.001093,,0.037700000000000004,,0,19
68,10000,500,0.0012640000000000001,,0.0443,,0,19
69,10000,500,0.0011040000000000002,,0.0375,,1,20
70,10000,500,0.00126,,0.04190000000000001,,0,20
71,10000,500,0.001286,,0.043299999999999984,,0,20
72,10000,500,0.001536,,0.0455,,0,20
73,10000,500,0.0016120000000000002,,0.04910000000000001,,0,20
74,10000,500,0.001399,,0.0414,,1,21
75,10000,500,0.001241,,0.0352,,0,21
76,10000,500,0.001278,,0.041999999999999996,,0,21
77,10000,500,0.00139,,0.040999999999999995,,0,21
78,10000,500,0.0014089999999999999,,0.041400000000000006,,0,21
79,10000,500,0.0008550000000000001,,0.031799999999999995,,0,21
80,10000,500,0.0015000000000000002,,0.0373,,0,21
81,10000,500,0.0010260000000000002,,0.04170000000000001,,0,21
82,10000,500,0.001569,,0.047599999999999996,,0,21
83,10000,500,0.001307,,0.0373,,0,21
84,10000,500,0.0010030000000000002,,0.031,,0,21
85,10000,500,0.000874,,0.03560000000000001,,1,22
86,10000,500,0.001237,,0.0486,,0,22
87,10000,500,0.000951,,0.04050000000000001,,0,22
88,10000,500,0.001231,,0.03629999999999999,,0,22
89,10000,500,0.0011480000000000001,,0.036000000000000004,,0,22
90,10000,500,0.001003,,0.03939999999999999,,0,22
91,10000,500,0.0011120000000000001,,0.030399999999999996,,0,22
92,10000,500,0.001023,,0.0349,,0,22
93,10000,500,0.0010650000000000002,,0.033,,0,22
94,10000,500,0.0006990000000000001,,0.0296,,0,22
95,10000,500,0.000831,,0.0305,,0,22
96,10000,500,0.001079,,0.0348,,0,22
97,10000,500,0.0010370000000000002,,0.0348,,0,22
98,10000,500,0.0008049999999999999,,0.025599999999999998,,0,22
99,10000,500,0.001181,,0.0368,,0,22
100,10000,500,0.000893,,0.03363636363636364,,0,22
101,10000,500,0.000989,,0.031799999999999995,,0,22
