generation,num_proposed,num_retained,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto
1,0,0,0,0,0,0,4,4
2,10000,500,0.39454399999999995,,1.0,,12,13
3,10000,500,0.118323,,0.9756,,12,18
4,10000,500,0.048045000000000004,,0.7315,,7,23
5,10000,500,0.028817000000000006,,0.4815,,5,28
6,10000,500,0.018119999999999997,,0.4861,,11,31
7,10000,500,0.011948,,0.32330000000000003,,3,15
8,10000,500,0.004092,,0.11349999999999999,,2,17
9,10000,500,0.002546,,0.079,,1,17
10,10000,500,0.0043040000000000005,,0.18410000000000004,,2,13
11,10000,500,0.0019140000000000001,,0.0408,,2,15
12,10000,500,0.0028060000000000003,,0.0653,,1,15
13,10000,500,0.002697,,0.07210000000000001,,2,16
14,10000,500,0.0018939999999999999,,0.06030000000000001,,0,16
15,10000,500,0.002241,,0.0507,,0,16
16,10000,500,0.0024260000000000006,,0.0414,,0,16
17,10000,500,0.002546,,0.04190000000000001,,0,16
18,10000,500,0.002025,,0.0564,,0,16
19,10000,500,0.001595,,0.0395,,0,16
20,10000,500,0.0024519999999999998,,0.078,,1,17
21,10000,500,0.00223,,0.0435,,1,18
22,10000,500,0.0022429999999999998,,0.079,,1,19
23,10000,500,0.002032,,0.04390000000000001,,0,19
24,10000,500,0.001626,,0.0432,,1,20
25,10000,500,0.0021850000000000003,,0.0625,,1,21
26,10000,500,0.0018329999999999998,,0.0473,,0,21
27,10000,500,0.001818,,0.0385,,1,22
28,10000,500,0.001495,,0.0301,,0,22
29,10000,500,0.001629,,0.0368,,0,22
30,10000,500,0.001425,,0.03730000000000001,,0,22
31,10000,500,0.0020810000000000004,,0.0412,,1,18
32,10000,500,0.001583,,0.0275,,0,18
33,10000,500,0.002523,,0.0877,,1,17
34,10000,500,0.002037,,0.0387,,1,18
35,10000,500,0.001277,,0.0315,,1,19
36,10000,500,0.001668,,0.0342,,0,19
37,10000,500,0.0009480000000000001,,0.034,,1,19
38,10000,500,0.001935,,0.054299999999999994,,0,19
39,10000,500,0.001674,,0.0362,,0,19
40,10000,500,0.001353,,0.036199999999999996,,0,19
41,10000,500,0.0016190000000000002,,0.0366,,0,19
42,10000,500,0.0013690000000000002,,0.0388,,1,19
43,10000,500,0.0017280000000000002,,0.045,,1,20
44,10000,500,0.001311,,0.024800000000000003,,0,20
45,10000,500,0.001082,,0.029899999999999996,,0,20
46,10000,500,0.0009629999999999999,,0.0261,,0,20
47,10000,500,0.001449,,0.034600000000000006,,0,20
48,10000,500,0.0015410000000000003,,0.0432,,0,20
49,10000,500,0.00135,,0.0441,,0,20
50,10000,500,0.001196,,0.0338,,0,20
51,10000,500,0.001492,,0.0362,,0,20
52,10000,500,0.0009609999999999999,,0.027000000000000003,,0,20
53,10000,500,0.001352,,0.0288,,0,20
54,10000,500,0.0016650000000000002,,0.032400000000000005,,0,20
55,10000,500,0.0014780000000000001,,0.04880000000000001,,0,20
56,10000,500,0.0011110000000000002,,0.029000000000000005,,0,20
57,10000,500,0.0017510000000000002,,0.047400000000000005,,0,20
58,10000,500,0.000859,,0.026600000000000002,,0,20
59,10000,500,0.0016200000000000003,,0.029800000000000004,,0,20
60,10000,500,0.0018690000000000002,,0.04089999999999999,,0,20
61,10000,500,0.001117,,0.0255,,0,20
62,10000,500,0.0014730000000000001,,0.023600000000000003,,0,20
63,10000,500,0.001103,,0.026000000000000002,,0,20
64,10000,500,0.001131,,0.0308,,0,20
65,10000,500,0.001312,,0.0275,,0,20
66,10000,500,0.001487,,0.025300000000000003,,0,20
67,10000,500,0.0013180000000000002,,0.044300000000000006,,0,20
68,10000,500,0.001036,,0.0334,,0,20
69,10000,500,0.001438,,0.022199999999999998,,0,20
70,10000,500,0.0011870000000000001,,0.0286,,0,20
71,10000,500,0.0010450000000000001,,0.0313,,0,20
72,10000,500,0.0013920000000000002,,0.038599999999999995,,0,20
73,10000,500,0.00147,,0.04069999999999999,,0,20
74,10000,500,0.0015660000000000001,,0.022099999999999998,,0,20
75,10000,500,0.001373,,0.04020000000000001,,0,20
76,10000,500,0.001296,,0.038200000000000005,,1,20
77,10000,500,0.001123,,0.0297979797979798,,0,20
78,10000,500,0.0013390000000000001,,0.028699999999999996,,0,20
79,10000,500,0.0012649999999999998,,0.0314,,0,20
80,10000,500,0.0008179999999999999,,0.0288,,0,20
81,10000,500,0.001479,,0.0332,,0,20
82,10000,500,0.0008940000000000002,,0.0353,,0,20
83,10000,500,0.0016590000000000003,,0.026399999999999996,,0,20
84,10000,500,0.001315,,0.024900000000000002,,0,20
85,10000,500,0.001114,,0.021,,0,20
86,10000,500,0.0008190000000000002,,0.0235,,0,20
87,10000,500,0.001111,,0.0245,,0,20
88,10000,500,0.0008870000000000001,,0.0423,,0,20
89,10000,500,0.00129,,0.0173,,1,21
90,10000,500,0.0010900000000000003,,0.0404,,0,21
91,10000,500,0.000867,,0.0363,,0,21
92,10000,500,0.0010450000000000001,,0.0246,,0,21
93,10000,500,0.001077,,0.031100000000000003,,0,21
94,10000,500,0.00117,,0.0258,,0,21
95,10000,500,0.000399,,0.015599999999999998,,0,21
96,10000,500,0.0006550000000000001,,0.0243,,0,21
97,10000,500,0.001273,,0.0239,,0,21
98,10000,500,0.0011970000000000001,,0.0343,,0,21
99,10000,500,0.0009190000000000001,,0.012424242424242424,,0,21
100,10000,500,0.0012959999999999996,,0.0181,,0,21
101,10000,500,0.0009220000000000001,,0.0216,,0,21
