generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
2,0.133229,1.7,-5.657864,46.4,0.024703,33.9,-0.860900,78.2,c1cnc(nc1)c1nc(nc(n1)c1ncccn1)c1ncccn1,"[2, 7, 19]","[{'functional_group': 'bromo', 'smiles_inds': [5]}]"
2,0.227746,2.4,-7.049186,40.5,0.745345,94.1,-3.679817,31.5,N(N=NC1=NN=N[N-]1)C1=NN=N[N-]1,"[1, 12, 7]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [0]}]"
2,0.251256,2.8,-6.101702,43.3,0.282035,80.3,-3.806364,30.1,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'trifluro', 'smiles_inds': [3]}]"
2,0.341853,3.1,-6.622750,41.5,0.009808,15.2,-3.316491,35.3,Oc1ccc(cc1C(=NN=Cc1cc(ccc1[O-])N(=O)=O)[N-]N(c1cccc(Cl)n1)c1cccc(Cl)n1)N(=O)=O,"[17, 21, 9]",[]
2,0.582663,5.5,-1.503208,82.0,0.355378,83.7,-3.855830,30.1,[O-]c1ccc2ccccc2c1C=Nc1ccccc1C1=Nc2ccccc2N1,"[20, 12, 0]","[{'functional_group': 'trifluro', 'smiles_inds': [6]}, {'functional_group': 'chloro', 'smiles_inds': [23]}]"
2,0.792062,6.9,-6.160027,42.6,0.103235,63.3,-3.999933,29.4,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'carboxyl', 'smiles_inds': [17]}]"
2,0.804103,7.3,-2.335976,70.2,0.011504,16.6,-4.645186,24.6,CC(N)c1cccc[c-]1,"[2, 8]",[]
2,0.892830,7.6,-6.036228,43.6,0.005969,8.7,-1.601068,60.6,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'cyanimide', 'smiles_inds': [0]}, {'functional_group': 'amino', 'smiles_inds': [2]}, {'functional_group': 'tribromo', 'smiles_inds': [7]}]"
2,0.924382,8.0,-3.698645,58.8,0.061308,54.3,-10.354235,4.8,CN1C(=O)C(=C([O-])c2ccccc12)N=Nc1ccc(cc1)N(=O)=O,"[6, 14]",[]
2,1.236492,9.7,-2.317456,70.6,0.483724,89.6,-11.133808,3.8,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'tribromo', 'smiles_inds': [12]}]"
2,1.236492,9.7,-2.317456,70.6,0.483724,89.6,-11.133808,3.8,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'amide', 'smiles_inds': [14]}, {'functional_group': 'tribromo', 'smiles_inds': [22]}]"
2,1.299434,10.4,-2.468262,68.5,0.003365,3.5,-2.944266,38.4,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
2,1.299434,10.4,-2.468262,68.5,0.003365,3.5,-2.944266,38.4,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]","[{'functional_group': 'carboxyl', 'smiles_inds': [0]}, {'functional_group': 'chloro', 'smiles_inds': [1]}]"
2,1.600508,11.4,-3.779540,58.8,0.002415,1.4,-0.833338,78.9,CC(C)Oc1ccc2[N-]c3c4ncccc4c4C(=O)NC(=O)c4c3c2c1,"[11, 8]","[{'functional_group': 'trichloro', 'smiles_inds': [1]}, {'functional_group': 'aldehyde', 'smiles_inds': [12]}]"
2,1.782917,12.5,-5.866588,45.7,0.005511,8.0,-0.915232,75.4,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': 'cyanimide', 'smiles_inds': [5]}]"
2,1.782917,12.5,-5.866588,45.7,0.005511,8.0,-0.915232,75.4,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': 'cyanimide', 'smiles_inds': [5]}, {'functional_group': 'phenyl', 'smiles_inds': [8]}]"
2,1.782917,12.5,-5.866588,45.7,0.005511,8.0,-0.915232,75.4,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': 'cyanimide', 'smiles_inds': [5]}, {'functional_group': 'iodo', 'smiles_inds': [17]}, {'functional_group': 'carboxylate', 'smiles_inds': [3]}]"
2,1.782917,12.5,-5.866588,45.7,0.005511,8.0,-0.915232,75.4,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': 'cyanimide', 'smiles_inds': [5]}, {'functional_group': 'bromo', 'smiles_inds': [2]}]"
2,1.928193,13.8,-3.882506,57.4,0.002157,1.0,-0.354301,92.4,CC(C)Oc1ccc2[N-]c3c4ncccc4c4C(=O)NC(=O)c4c3c2c1,"[11, 8]",[]
2,2.193997,15.6,-10.603933,24.6,0.021309,31.8,-2.299348,48.8,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [8]}, {'functional_group': 'carboxylate', 'smiles_inds': [0]}]"
2,2.209507,15.9,-10.618648,24.6,0.024566,33.9,-2.352875,48.8,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [8]}]"
2,2.550573,17.0,-30.258271,2.1,0.034961,41.5,-2.953568,38.4,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'cyanimide', 'smiles_inds': [0]}, {'functional_group': 'cyano', 'smiles_inds': [11]}, {'functional_group': 'amino', 'smiles_inds': [6]}]"
2,2.686771,17.6,-6.424925,41.9,1.010812,96.5,-4.797130,23.2,CSC(N)=NN=Cc1c([O-])c(C)[nH+]cc1CO,"[9, 5, 3]","[{'functional_group': 'ether', 'smiles_inds': [15]}, {'functional_group': 'cyanimide', 'smiles_inds': [13]}]"
2,2.729107,18.3,-6.659908,41.5,1.022400,96.5,-4.426911,25.3,C1CN=C(N1)NN=Cc1ccccn1,"[13, 6, 2]",[]
2,2.857819,19.0,-7.143292,40.5,0.027047,35.6,-6.055090,16.3,Cc1ccnc(NC(=S)NC(=O)c2ccccc2)c1,"[4, 8]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [9]}]"
2,2.910191,19.4,-30.228070,2.1,0.037073,42.2,-3.261378,36.0,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'cyanimide', 'smiles_inds': [0]}]"
2,3.884777,23.2,-6.102293,43.3,0.304129,81.0,-8.500304,8.0,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
2,4.337521,24.9,-6.740716,41.5,0.019397,29.8,-1.544296,61.2,CC(=NN)C1=NC=CS1,"[2, 5]","[{'functional_group': 'fluoro', 'smiles_inds': [6]}, {'functional_group': 'carboxyl', 'smiles_inds': [7]}, {'functional_group': 'ketone', 'smiles_inds': [3]}]"
2,4.338906,25.6,-6.740987,41.5,0.019402,29.8,-1.544435,61.2,CC(=NN)C1=NC=CS1,"[2, 5]",[]
2,4.520112,27.0,-25.474016,2.1,0.009236,14.5,-12.825096,3.1,[NH3+]CCNC(=O)c1ccnc(c1)c1cc(C)ccn1,"[18, 9]",[]
2,5.132118,30.8,-6.122653,43.3,0.008013,11.1,-1.912394,56.4,CNC(=S)NN=CC1=CNC(=N1)C,"[3, 11, 5]","[{'functional_group': 'carboxylate', 'smiles_inds': [0]}]"
