generation,num_attempted,num_proposed,num_retained,num_selected_A,num_selected_B,num_valid,num_repeated,num_success_repeated,num_timeout,avg_time_success,avg_time_fail,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto,num_group_A,num_group_B,num_group_C
1,500,500,500,-1,-1,181,0,0,62,929.7988371690992,234.04204112824763,0,0,0,0,24,24,500,0,0
2,58366,49882,200,-1,-1,108,0,0,13,821.2980505470877,304.11383593836916,0.6030933001884448,0,0,0,28,47,41073,4409,4400
3,57187,49883,200,-1,-1,112,0,0,17,850.8174930427756,227.42515346701717,0.3626185273540084,0,0,0,37,84,40549,4681,4653
4,56640,49897,200,-1,-1,118,0,0,13,869.4656763238422,213.56107367294422,0.4857807082590136,0,0,0,44,125,40386,4887,4624
5,56240,49906,200,-1,-1,107,0,0,13,830.0906440944315,188.26074878573417,0.2808580130645614,0,0,0,34,157,40087,5115,4704
6,56212,49878,200,-1,-1,100,0,0,13,772.7279273605346,277.7875777250049,0.242551826456554,0,0,0,38,182,39949,5217,4712
7,56150,49885,200,-1,-1,96,0,0,19,798.6292869672179,322.94611635769115,0.3187431091510474,0,0,0,37,216,39842,5355,4688
8,56132,49902,200,-1,-1,115,0,0,14,846.6056098191634,283.54638792427494,0.27286481503747345,0,0,0,42,252,39754,5352,4796
9,56162,49887,200,-1,-1,105,0,0,15,888.777542486645,242.17198677957057,0.3029647002225029,0,0,0,23,187,39905,5289,4693
10,56095,49891,200,-1,-1,92,0,0,24,949.0772824961206,261.1752694589751,0.3556553286163837,0,0,0,32,216,39880,5317,4694
11,56347,49894,200,-1,-1,102,0,0,17,856.0023829703238,229.45957963849293,0.30359361847115884,0,0,0,37,251,40033,5258,4603
12,56291,49906,200,-1,-1,114,0,0,19,898.8676971343525,245.91823320958153,0.2714803831202661,0,0,0,38,272,39859,5456,4591
13,56572,49899,200,-1,-1,110,0,0,10,903.2099990671331,257.8993300229311,0.1725786087897553,0,0,0,45,316,39826,5444,4629
14,56428,49895,200,-1,-1,101,0,0,15,782.2328833282584,259.777841655981,0.10242509269465878,0,0,0,29,340,39931,5473,4491
15,56470,49901,200,-1,-1,113,0,0,22,944.9337779061984,271.7818849710318,0.18824272058676178,0,0,0,51,391,39939,5411,4551
16,56572,49893,200,-1,-1,91,0,0,16,747.1872092446129,244.14147857696778,0.1667668811256088,0,0,0,37,423,39840,5550,4503
17,56509,49894,200,-1,-1,114,0,0,22,893.2820739160504,318.01545303687453,0.29721008538100774,0,0,0,30,453,39938,5531,4425
18,56544,49894,200,-1,-1,107,0,0,18,829.1432419335731,217.3438248984019,0.3403214815408666,0,0,0,31,480,39788,5612,4494
19,56715,49896,200,-1,-1,108,0,0,27,903.1715221669939,246.92277752802923,0.2875380792047459,0,0,0,34,513,39751,5637,4508
20,56719,49889,200,-1,-1,96,0,0,20,854.8599370196462,219.60978236652556,0.27786686443905473,0,0,0,28,541,39895,5622,4372
21,56732,49892,200,-1,-1,107,0,0,18,958.831130197115,211.70852468172708,0.2782810871482402,0,0,0,40,580,39693,5756,4443
22,56840,49897,200,-1,-1,99,0,0,22,871.3323606023885,212.60470426535304,0.1625348217327695,0,0,0,44,614,39805,5719,4373
23,56865,49901,200,-1,-1,120,0,0,12,897.6769854267438,221.29128178077585,0.21661890543275686,0,0,0,43,641,39823,5685,4393
24,57078,49908,200,-1,-1,115,0,0,21,1001.2921552533688,192.4756926111877,0.253055622345115,0,0,0,35,495,39978,5597,4333
25,57475,49889,200,-1,-1,97,0,0,21,871.9070011586258,205.67736945210433,0.15642726853615024,0,0,0,36,524,40292,5554,4043
26,57469,49901,200,-1,-1,98,0,0,14,872.9021601141716,251.53929845582354,0.21844251618204044,0,0,0,33,551,40130,5683,4088
27,57486,49890,200,-1,-1,92,0,0,12,823.9371048471202,233.26682761808237,0.2196131489276408,0,0,0,30,579,40128,5640,4122
28,57336,49884,200,-1,-1,112,0,0,18,885.2245565333536,268.20494540759495,0.22646539972736748,0,0,0,32,611,39973,5742,4169
29,57381,49887,200,-1,-1,100,0,0,13,846.5087133741379,285.48160858812,0.2087618016717782,0,0,0,39,640,40133,5726,4028
30,57640,49881,200,-1,-1,107,0,0,18,930.443097072227,241.1822494506836,0.20154968825805417,0,0,0,37,677,40013,5803,4065
31,57583,49907,200,-1,-1,98,0,0,15,841.3718798087567,215.21972054174577,0.24879275452341354,0,0,0,29,706,40045,5853,4009
32,57625,49895,200,-1,-1,111,0,0,13,928.8657131066193,245.12072416983153,0.23618599058021847,0,0,0,35,740,40165,5776,3954
33,57794,49889,200,-1,-1,102,0,0,17,826.9831021720288,242.2367157847793,0.2857142857142857,0,0,0,41,780,40254,5657,3978
