generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,10.054506,56.6,-14.226569,10.9,0.172469,69.7,-7.866238,7.4,CC12CNCCNCC([NH2+]CC3=CSC=C3)(CNCCNC1)CNCCNC2,"[17, 26, 20, 6, 23, 3]",[]
1,10.585014,58.9,-1.673431,80.6,0.288040,76.0,-8.358602,5.7,CN1N(C(=O)C(=C1C)N=Cc1cc(Br)ccc1[O-])c1ccccc1,"[8, 4, 17]",[]
1,10.880381,60.0,-7.821425,36.0,0.095860,62.3,-5.034912,19.4,O=N(=O)C12CNCCN3CCN(CCNC1)CCN(CCNC2)CC3,"[14, 8, 11, 21, 18, 5]","[{'functional_group': 'methyl_ester', 'smiles_inds': [20]}]"
1,10.903242,61.1,-3.060818,60.6,0.038943,42.3,-13.517860,1.1,OCC(N=Cc1cc(ccc1[O-])N(=O)=O)c1ccccc1,"[11, 0, 3]",[]
1,12.165124,68.0,-3.295836,60.6,0.013275,21.7,-5.148594,18.3,O=C([O-])C1=CNC=N1,"[2, 7]",[]
1,12.287841,69.1,-4.509632,50.9,0.009569,14.9,-8.032847,6.9,O=C([O-])c1ccnc(n1)c1ccccn1,"[14, 6]",[]
1,12.579832,69.7,-25.866563,2.3,0.002338,4.0,-2.217911,46.3,[nH+]1c2ccccc2nc2c1c1cccnc1c1ncccc21,"[14, 17]",[]
1,13.719955,72.6,-3.318365,60.0,0.008106,12.0,-4.784771,21.1,Oc1cccc(n1)C(=O)[O-],"[6, 9]",[]
1,27.291637,93.1,-6.514708,42.3,0.125877,65.1,-5.307557,17.7,Clc1ccc(OCC(=O)Nc2ccccc2)c2ncccc12,"[5, 8, 17]",[]
1,33.951045,96.6,-2.138346,71.4,0.004051,6.3,-5.205830,17.7,Fc1c[c-]c(cc1C(F)(F)F)c1ccccn1,"[3, 16]",[]
1,99.944704,99.4,-6.305673,42.3,0.079203,57.7,-2.989542,29.1,O[P](O)=O,[1],"[{'functional_group': 'amide', 'smiles_inds': [2]}]"
2,0.168098,0.0,-3.097860,63.5,0.005159,6.3,-5.903516,15.3,O=C([N-]CCON(=O)=O)c1ccccn1,"[14, 2]","[{'functional_group': 'phenyl', 'smiles_inds': [10]}]"
2,0.394739,0.5,-6.635308,45.0,0.034321,40.2,-2.050930,49.2,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'chloro', 'smiles_inds': [24]}]"
2,0.586116,1.1,-1.431365,86.2,0.074134,56.6,-7.518459,9.0,CNCCCN=Cc1c([O-])ccc2ccccc12,"[9, 1, 5]",[]
2,0.872954,1.6,-5.765495,48.7,0.004607,5.8,-0.345906,88.4,c1cnc2c(c1)ccc1ccc3cccnc3c21,"[15, 2]","[{'functional_group': 'methyl_ester', 'smiles_inds': [7]}, {'functional_group': 'ethyl', 'smiles_inds': [5]}]"
2,1.004562,2.1,-1.668777,82.0,0.028473,36.5,-8.254791,6.3,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
2,1.270509,4.8,-6.251301,46.0,0.066560,52.9,-2.558946,36.5,COc1ccc(CNC(=S)NN=Cc2ccccn2)cc1,"[9, 11]",[]
2,1.280612,5.3,-6.526226,46.0,0.007610,11.1,-1.240726,60.8,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]",[]
2,1.354261,6.3,-7.583574,40.7,0.044879,46.0,-3.428749,27.0,NC(=N)NN=O,"[4, 2]","[{'functional_group': 'iodo', 'smiles_inds': [0]}]"
2,1.516245,6.9,-7.012498,43.4,0.007169,7.9,-0.365702,86.8,CC(=N)C=N,"[2, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [3]}]"
2,1.541657,7.4,-5.499850,51.3,0.044594,45.5,-7.353429,9.0,O=C([O-])CN(CC(=O)[O-])Cc1ccc(cc1)N(=O)=O,"[2, 8, 4]","[{'functional_group': 'carboxyl', 'smiles_inds': [12]}]"
2,1.958806,11.1,-5.939721,47.6,0.376194,78.3,-14.050135,1.1,CC(=NN=C([O-])c1ccccc1)C1=Cc2ccc([O-])cc2OC1=O,"[23, 5, 2]","[{'functional_group': 'cyano', 'smiles_inds': [0]}]"
2,2.638411,15.3,-23.129215,2.6,0.891272,92.6,-1.156425,64.6,[NH3+]C12CNCCNCC([NH2+]Cc3ccccc3O)(CNCCNC1)CNCCNC2,"[6, 3, 19, 22, 25, 28]","[{'functional_group': 'carbonyl', 'smiles_inds': [10]}]"
2,2.956254,19.6,-6.829113,43.4,0.322607,76.7,-4.799120,21.2,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1ccccn1,"[24, 2, 15]",[]
2,3.021296,20.6,-3.596777,59.8,0.017721,22.8,-2.521407,37.6,CCNC([S-])=NN=CC1=CNc2ccccc12,"[4, 6]",[]
2,3.551709,21.2,-6.565035,46.0,0.021227,28.6,-1.384561,56.6,C(CN(Cc1nccc2ccccc12)Cc1nccc2ccccc12)N(Cc1nccc2ccccc12)Cc1nccc2ccccc12,"[2, 5, 16, 25, 28, 39]","[{'functional_group': 'aldehyde', 'smiles_inds': [20]}, {'functional_group': 'aldehyde', 'smiles_inds': [35]}]"
2,4.002150,23.3,-8.072884,38.1,0.012816,18.5,-0.742155,77.2,CCNC(=S)NN=CC1=CC=C(O1)N(=O)=O,"[6, 4]",[]
2,4.522531,27.0,-12.111053,18.5,0.000231,0.5,-0.369731,86.8,O=C1C=CC(=O)N1c1ccc2C=NNc2c1,[12],"[{'functional_group': 'thiol', 'smiles_inds': [9]}, {'functional_group': 'cyanimide', 'smiles_inds': [15]}]"
2,4.611863,28.6,-6.220200,46.0,0.535923,83.6,-8.817940,4.8,Cc1cc(C=NN=C([O-])C(C)(C)C)c([O-])c(c1)C(O)=O,"[14, 5, 8]",[]
2,4.903305,30.2,-4.271085,55.0,0.009308,13.8,-1.829831,52.4,CC(C)C1(C)[NH+]=C([N-]C1=O)c1ncccc1C(=O)[O-],"[7, 11]",[]
2,4.917281,30.7,-8.220968,37.0,0.042827,43.9,-2.812659,32.3,CC(=O)c1cncc(c1)C(C)=O,[5],[]
2,5.328965,32.8,-6.109434,46.6,0.021826,28.6,-3.635000,25.4,CC1=CC=C(O1)C=NNC(N)=S,"[11, 7]","[{'functional_group': 'carboxylate', 'smiles_inds': [2]}]"
2,5.952153,35.4,-6.286277,46.0,0.006661,7.4,-2.802830,32.3,Cc1cccc(N=CNc2nccc(C)n2)n1,"[16, 6]","[{'functional_group': 'methyl_ester', 'smiles_inds': [2]}]"
2,6.099463,37.0,-2.275705,70.9,0.003280,5.8,-1.104327,66.7,COC(=O)c1cccc[c-]1,"[1, 9]","[{'functional_group': 'trifluro', 'smiles_inds': [7]}, {'functional_group': 'carboxylate', 'smiles_inds': [6]}]"
2,7.452405,41.8,-2.972540,64.0,0.001577,2.6,-4.159947,22.2,c1ccc(nc1)C1=NC(=N[N-]1)c1ccncc1,"[10, 4]",[]
2,8.336873,45.5,-6.075449,46.6,0.015644,20.6,-4.790211,21.2,Nc1ncc(cn1)c1ccc(nc1)c1ccccn1,"[11, 18]","[{'functional_group': 'phosphonate', 'smiles_inds': [9]}]"
2,8.602138,47.1,-8.022334,38.1,0.451904,82.5,-3.141840,30.2,N#CNC#N,[0],[]
2,8.712737,47.6,-5.198215,51.9,0.010518,15.3,-2.901744,31.2,O=C1c2cccc3cccc(C1=Nc1ccccc1)c23,"[0, 12]","[{'functional_group': 'tribromo', 'smiles_inds': [18]}, {'functional_group': 'methyl_ester', 'smiles_inds': [5]}]"
2,8.853949,49.2,-8.270182,36.5,0.005211,6.3,-2.026205,49.2,O=Cc1ccncc1,[5],"[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [6]}]"
