train_iteration,target,bootstrap,cosine_meta_base,mean_abs_delta,meta_gini,base_gini,norm_par,norm_perp,perp_over_par,topk_overlap_with_base
1,sco_kcal,0,0.08276104927062988,0.4564127027988434,0.49159290546083967,0.895096101098505,7.278468132019043,0.2433028370141983,0.03342775328559503,0.58
1,sco_kcal,1,0.050452135503292084,0.2690616548061371,0.4969453468258762,0.9024645046269693,4.392829895019531,0.05712901055812836,0.013005058680487411,0.54
1,water_gsolv_eV,0,0.9999999403953552,0.0,0.5085022505091463,0.5085022505091463,,,,1.0
1,water_gsolv_eV,1,0.9999999403953552,0.0,0.5085022505091463,0.5085022505091463,,,,1.0
1,water_hl_gap_eV,0,0.9999999403953552,0.0,0.7077830224697017,0.7077830224697017,,,,1.0
1,water_hl_gap_eV,1,0.9999999403953552,0.0,0.7077830224697017,0.7077830224697017,,,,1.0
1,water_dipole,0,1.0,0.0,0.5789656494837523,0.5789656494837523,,,,1.0
1,water_dipole,1,1.0,0.0,0.5789656494837523,0.5789656494837523,,,,1.0
1,acetone_gsolv_eV,0,1.0,0.0,0.4893493275856302,0.4893493275856302,,,,1.0
1,acetone_gsolv_eV,1,1.0,0.0,0.4893493275856302,0.4893493275856302,,,,1.0
1,acetone_hl_gap_eV,0,1.0,0.0,0.7020001880384661,0.7020001880384661,,,,1.0
1,acetone_hl_gap_eV,1,1.0,0.0,0.7020001880384661,0.7020001880384661,,,,1.0
1,acetone_dipole,0,0.9999998807907104,0.0,0.5154304245393739,0.5154304245393739,,,,1.0
1,acetone_dipole,1,0.9999998807907104,0.0,0.5154304245393739,0.5154304245393739,,,,1.0
1,octanol_gsolv_eV,0,0.10087694227695465,0.1640985906124115,0.48191784995047193,0.8946777482091324,2.5079636573791504,0.020101845264434814,0.008015205964125279,0.56
1,octanol_gsolv_eV,1,0.072505883872509,0.19692137837409973,0.4850608378946626,0.896237990736489,2.9955244064331055,0.024138161912560463,0.008058075527851488,0.54
1,octanol_hl_gap_eV,0,0.06813152134418488,0.030153295025229454,0.5501795628543422,0.8825008339995419,0.535687267780304,0.0006985430954955518,0.0013040128774948563,0.56
1,octanol_hl_gap_eV,1,-0.031272828578948975,0.024064620956778526,0.484215383165465,0.9161371177246542,0.4251154065132141,0.0020931586623191833,0.004923742189179211,0.62
1,octanol_dipole,0,0.07275638729333878,0.06371095776557922,0.4722658166807159,0.9106278936407295,0.8761931657791138,0.010985513217747211,0.012537775512068573,0.58
1,octanol_dipole,1,0.05028195679187775,0.04757975786924362,0.4777304642529794,0.9210739467724118,0.625626802444458,0.03466694802045822,0.055411545485274966,0.5
1,hexane_gsolv_eV,0,1.0,0.0,0.5589188617983101,0.5589188617983101,,,,1.0
1,hexane_gsolv_eV,1,1.0,0.0,0.5589188617983101,0.5589188617983101,,,,1.0
1,hexane_hl_gap_eV,0,1.0,0.0,0.677137805489552,0.677137805489552,,,,1.0
1,hexane_hl_gap_eV,1,1.0,0.0,0.677137805489552,0.677137805489552,,,,1.0
1,hexane_dipole,0,1.0,0.0,0.5268402788034983,0.5268402788034983,,,,1.0
1,hexane_dipole,1,1.0,0.0,0.5268402788034983,0.5268402788034983,,,,1.0
2,sco_kcal,0,0.28751179575920105,0.08499491214752197,0.4441426494506502,0.8852881787074893,1.52668035030365,0.14866508543491364,0.09737800411549465,0.48
2,sco_kcal,1,0.07526542246341705,0.07709989696741104,0.5220272078040016,0.9280859455462767,1.400471568107605,0.019044123589992523,0.013598365024808037,0.4
2,water_gsolv_eV,0,1.0,0.0,0.5250918591120624,0.5250918591120624,,,,1.0
2,water_gsolv_eV,1,1.0,0.0,0.5250918591120624,0.5250918591120624,,,,1.0
2,water_hl_gap_eV,0,1.0,0.0,0.643251055292898,0.643251055292898,,,,1.0
2,water_hl_gap_eV,1,1.0,0.0,0.643251055292898,0.643251055292898,,,,1.0
2,water_dipole,0,1.0000001192092896,0.0,0.5469237139076266,0.5469237139076266,,,,1.0
2,water_dipole,1,1.0000001192092896,0.0,0.5469237139076266,0.5469237139076266,,,,1.0
2,acetone_gsolv_eV,0,1.0,0.0,0.4838064958634547,0.4838064958634547,,,,1.0
2,acetone_gsolv_eV,1,1.0,0.0,0.4838064958634547,0.4838064958634547,,,,1.0
2,acetone_hl_gap_eV,0,1.0,0.0,0.6388366077132224,0.6388366077132224,,,,1.0
2,acetone_hl_gap_eV,1,1.0,0.0,0.6388366077132224,0.6388366077132224,,,,1.0
2,acetone_dipole,0,0.9999999403953552,0.0,0.5051476136203084,0.5051476136203084,,,,1.0
2,acetone_dipole,1,0.9999999403953552,0.0,0.5051476136203084,0.5051476136203084,,,,1.0
2,octanol_gsolv_eV,0,0.12331376224756241,0.36650192737579346,0.49734098304402874,0.9139947251190128,6.327645301818848,0.05833900719881058,0.00921970249850151,0.46
2,octanol_gsolv_eV,1,0.09082795679569244,0.40841272473335266,0.4991516036459429,0.9147936815837463,7.042812347412109,0.06771335750818253,0.009614533820862612,0.46
2,octanol_hl_gap_eV,0,0.15248848497867584,0.01658530905842781,0.448981515516232,0.8071751798432418,0.3114078938961029,0.02782677859067917,0.08935797433562555,0.52
2,octanol_hl_gap_eV,1,0.14137107133865356,0.02137860283255577,0.5002100850826647,0.9302569845973547,0.21503141522407532,0.0003197950136382133,0.0014872013622054627,0.58
2,octanol_dipole,0,0.0974024161696434,0.11448071897029877,0.4265593609203848,0.8939712326708302,1.5427594184875488,0.00458094896748662,0.0029693216664835364,0.5
2,octanol_dipole,1,0.41911232471466064,0.0462748259305954,0.4625359688755417,0.8493521495882614,0.6111284494400024,0.13453297317028046,0.22013861945644578,0.56
2,hexane_gsolv_eV,0,0.9999998807907104,0.0,0.4897842566171877,0.4897842566171877,,,,1.0
2,hexane_gsolv_eV,1,0.9999998807907104,0.0,0.4897842566171877,0.4897842566171877,,,,1.0
2,hexane_hl_gap_eV,0,1.0,0.0,0.5861105523888024,0.5861105523888024,,,,1.0
2,hexane_hl_gap_eV,1,1.0,0.0,0.5861105523888024,0.5861105523888024,,,,1.0
2,hexane_dipole,0,1.0000001192092896,0.0,0.5664695486662912,0.5664695486662912,,,,1.0
2,hexane_dipole,1,1.0000001192092896,0.0,0.5664695486662912,0.5664695486662912,,,,1.0
3,sco_kcal,0,0.07659024745225906,0.14726583659648895,0.5431301733592349,0.9446031714895384,2.9989430904388428,0.11383487284183502,0.0379583304547394,0.46
3,sco_kcal,1,0.1379605531692505,0.5737009048461914,0.5799648648999352,0.8278498746840379,11.69411563873291,0.29590240120887756,0.025303529599861166,0.38
3,water_gsolv_eV,0,1.0,0.0,0.5640485627246137,0.5640485627246137,,,,1.0
3,water_gsolv_eV,1,1.0,0.0,0.5640485627246137,0.5640485627246137,,,,1.0
3,water_hl_gap_eV,0,1.0000001192092896,0.0,0.6584417608083761,0.6584417608083761,,,,1.0
3,water_hl_gap_eV,1,1.0000001192092896,0.0,0.6584417608083761,0.6584417608083761,,,,1.0
3,water_dipole,0,1.0000001192092896,0.0,0.5404307031051709,0.5404307031051709,,,,1.0
3,water_dipole,1,1.0000001192092896,0.0,0.5404307031051709,0.5404307031051709,,,,1.0
3,acetone_gsolv_eV,0,0.9999999403953552,0.0,0.5476735033126607,0.5476735033126607,,,,1.0
3,acetone_gsolv_eV,1,0.9999999403953552,0.0,0.5476735033126607,0.5476735033126607,,,,1.0
3,acetone_hl_gap_eV,0,1.0000001192092896,0.0,0.6466083814942547,0.6466083814942547,,,,1.0
3,acetone_hl_gap_eV,1,1.0000001192092896,0.0,0.6466083814942547,0.6466083814942547,,,,1.0
3,acetone_dipole,0,0.9999999403953552,0.0,0.5140321605359843,0.5140321605359843,,,,1.0
3,acetone_dipole,1,0.9999999403953552,0.0,0.5140321605359843,0.5140321605359843,,,,1.0
3,octanol_gsolv_eV,0,0.17371180653572083,0.24083992838859558,0.525278044211474,0.8573950005206339,4.799612045288086,0.23663116991519928,0.04930214519056947,0.44
3,octanol_gsolv_eV,1,0.164290651679039,0.27532055974006653,0.5075712972570783,0.8107403267356552,4.968094825744629,0.13531900942325592,0.027237605997782865,0.58
3,octanol_hl_gap_eV,0,-0.020702892914414406,0.025752432644367218,0.5721844974071342,0.9247969601944832,0.36417943239212036,0.01822766475379467,0.050051329461594976,0.58
3,octanol_hl_gap_eV,1,0.0777224525809288,0.033311303704977036,0.5134009484156643,0.90937369157349,0.6101968288421631,0.00015607995737809688,0.00025578624797879666,0.52
3,octanol_dipole,0,0.038476310670375824,0.10843005031347275,0.5185450711948179,0.9208284059677014,2.059291124343872,0.018596936017274857,0.009030746453200095,0.44
3,octanol_dipole,1,0.1840512901544571,0.057530324906110764,0.5191923385353514,0.8642079936502938,0.9716671109199524,0.13323818147182465,0.13712328015885786,0.56
3,hexane_gsolv_eV,0,1.0,0.0,0.5760639663697782,0.5760639663697782,,,,1.0
3,hexane_gsolv_eV,1,1.0,0.0,0.5760639663697782,0.5760639663697782,,,,1.0
3,hexane_hl_gap_eV,0,1.0,0.0,0.6446528020763114,0.6446528020763114,,,,1.0
3,hexane_hl_gap_eV,1,1.0,0.0,0.6446528020763114,0.6446528020763114,,,,1.0
3,hexane_dipole,0,1.0,0.0,0.5080260553748983,0.5080260553748983,,,,1.0
3,hexane_dipole,1,1.0,0.0,0.5080260553748983,0.5080260553748983,,,,1.0
4,sco_kcal,0,0.28749537467956543,0.34507790207862854,0.5489644170998458,0.822723631994859,7.596473217010498,1.506798267364502,0.19835497662130697,0.56
4,sco_kcal,1,0.05855075269937515,0.391665518283844,0.5147838920736116,0.9169098264133104,7.313684463500977,0.054932739585638046,0.007510952907495598,0.48
4,water_gsolv_eV,0,0.9999999403953552,0.0,0.5494411047257504,0.5494411047257504,,,,1.0
4,water_gsolv_eV,1,0.9999999403953552,0.0,0.5494411047257504,0.5494411047257504,,,,1.0
4,water_hl_gap_eV,0,0.9999998807907104,0.0,0.6061003481482281,0.6061003481482281,,,,1.0
4,water_hl_gap_eV,1,0.9999998807907104,0.0,0.6061003481482281,0.6061003481482281,,,,1.0
4,water_dipole,0,1.0000001192092896,0.0,0.5460072443194897,0.5460072443194897,,,,1.0
4,water_dipole,1,1.0000001192092896,0.0,0.5460072443194897,0.5460072443194897,,,,1.0
4,acetone_gsolv_eV,0,1.0,0.0,0.5860627199664725,0.5860627199664725,,,,1.0
4,acetone_gsolv_eV,1,1.0,0.0,0.5860627199664725,0.5860627199664725,,,,1.0
4,acetone_hl_gap_eV,0,1.0,0.0,0.5989127980955613,0.5989127980955613,,,,1.0
4,acetone_hl_gap_eV,1,1.0,0.0,0.5989127980955613,0.5989127980955613,,,,1.0
4,acetone_dipole,0,0.9999999403953552,0.0,0.5277098597022578,0.5277098597022578,,,,1.0
4,acetone_dipole,1,0.9999999403953552,0.0,0.5277098597022578,0.5277098597022578,,,,1.0
4,octanol_gsolv_eV,0,0.21621380746364594,0.20592668652534485,0.5817104685430221,0.7750668017776008,4.676715850830078,0.39283421635627747,0.08399787989825225,0.56
4,octanol_gsolv_eV,1,0.06366316974163055,0.18212249875068665,0.531018993050393,0.914731225858679,3.5197255611419678,0.07796044647693634,0.022149581017800214,0.56
4,octanol_hl_gap_eV,0,-0.06810327619314194,0.03447236120700836,0.5198424481669481,0.8642093607021917,0.6450242400169373,0.0063138664700090885,0.009788572395113859,0.52
4,octanol_hl_gap_eV,1,0.043404124677181244,0.04688427969813347,0.5320946543411003,0.9250555301494408,0.8488113880157471,0.000296766753308475,0.00034962626267564807,0.4
4,octanol_dipole,0,0.4056988060474396,0.08246161043643951,0.5162969778478932,0.7709791685312328,1.3617817163467407,0.33415836095809937,0.24538320418528442,0.52
