generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,0.018539,0.0,-2.681683,63.3,0.010689,17.5,-1.732173,53.1,NC(=C([NH-])c1ccccc1)c1ccccc1,"[0, 3]","[{'functional_group': 'iodo', 'smiles_inds': [13]}, {'functional_group': 'carboxylate', 'smiles_inds': [12]}]"
1,0.030591,0.6,-6.664536,40.7,0.078050,59.9,-2.044626,46.9,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'bromo', 'smiles_inds': [7]}]"
1,0.180523,1.1,-2.862427,60.5,0.007741,10.7,-4.114922,22.6,O=C([N-]CCON(=O)=O)c1ccccn1,"[14, 2]","[{'functional_group': 'carboxylate', 'smiles_inds': [3]}]"
1,0.424461,1.7,-6.761043,39.5,1.670195,97.2,-0.869699,72.9,CCSCCN,"[2, 5]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [1]}]"
1,1.004562,2.3,-1.668777,80.8,0.028473,36.2,-8.254791,6.8,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
1,1.239681,4.5,-6.343408,40.7,0.026232,32.8,-1.200106,63.3,CC(CC(C)(C)[CH2-])=NOC(C)(C)C(=O)[O-],"[14, 7, 6]","[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [4]}]"
1,1.274687,6.2,-6.251891,40.7,0.067439,55.9,-2.628519,35.6,COc1ccc(CNC(=S)NN=Cc2ccccn2)cc1,"[9, 11]",[]
1,1.280612,6.8,-6.526226,40.7,0.007610,10.7,-1.240726,61.6,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]",[]
1,1.645224,7.9,-6.158507,40.7,0.000300,0.0,-0.585076,83.6,N1C=CN=C1c1ccccn1,"[10, 3]","[{'functional_group': 'ether', 'smiles_inds': [2]}]"
1,1.882696,9.6,-6.681435,40.7,0.086648,61.6,-0.309706,90.4,CC1(CNCCNC1)NCOCN1CCNCC(C)(C1)N=C,"[12, 15, 20, 3, 6, 8]","[{'functional_group': 'carbonyl', 'smiles_inds': [11]}, {'functional_group': 'chloro', 'smiles_inds': [21]}]"
1,1.985603,11.3,-7.099083,37.3,0.112778,67.2,-3.128368,31.1,N#CCCN1C=CN=C1CC1=NC=CN1CCC#N,"[7, 11]","[{'functional_group': 'fluoro', 'smiles_inds': [15]}, {'functional_group': '2-hydroxypyridine', 'smiles_inds': [13]}]"
1,2.189307,12.4,-3.684307,56.5,0.011972,20.3,-2.379951,41.8,CCNC([S-])=NN=CC1=CNc2ccccc12,"[4, 6]",[]
1,2.610315,16.4,-6.409856,40.7,0.426389,86.4,-8.333678,6.2,CC(=O)C(N=Nc1ccc(cc1[O-])C(O)=O)=C(C)[O-],"[18, 5, 12]","[{'functional_group': 'hydroxyl', 'smiles_inds': [7]}]"
1,2.728766,17.5,-6.781231,39.5,0.077468,59.9,-2.507204,37.9,Oc1cccc2ccc(CN3CCSCc4cccc(CSCC3)n4)nc12,"[21, 13, 0, 24, 10, 25]","[{'functional_group': 'methyl', 'smiles_inds': [22]}, {'functional_group': 'cyano', 'smiles_inds': [18]}, {'functional_group': 'tribromo', 'smiles_inds': [16]}]"
1,3.300380,20.9,-6.117085,41.2,0.030651,39.5,-2.651960,34.5,O=C(NN=C(c1ccccc1)c1ccccn1)c1ccccc1,"[16, 3]",[]
1,3.940792,22.6,-8.276393,33.3,0.020955,28.2,-1.530036,55.9,CCNC(=S)NN=CC1=CC=C(O1)N(=O)=O,"[6, 4]",[]
1,4.611863,25.4,-6.220200,40.7,0.535923,88.7,-8.817940,5.6,Cc1cc(C=NN=C([O-])C(C)(C)C)c([O-])c(c1)C(O)=O,"[14, 5, 8]",[]
1,4.823693,26.6,-23.212229,1.7,0.837663,92.1,-1.338592,59.9,[NH3+]C12CNCCNCC([NH2+]Cc3ccccc3O)(CNCCNC1)CNCCNC2,"[6, 3, 19, 22, 25, 28]","[{'functional_group': 'ketone', 'smiles_inds': [18]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [14]}]"
