generation,num_proposed,num_retained,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto
1,0,0,0,0,0,0,8,8
2,0,0,0.5486709999999999,0,0,0,5,7
3,0,0,0.30263199999999996,0,0,0,2,9
4,0,0,0.24283199999999996,0,0,0,3,10
5,0,0,0.198814,0,0,0,5,13
6,0,0,0.168745,0,0,0,3,16
7,0,0,0.15323499999999998,0,0,0,2,13
8,0,0,0.13146,0,0,0,4,12
9,0,0,0.10233199999999999,0,0,0,3,15
10,0,0,0.095064,0,0,0,1,11
11,0,0,0.081015,0,0,0,0,11
12,0,0,0.08211600000000001,0,0,0,2,12
13,0,0,0.070708,0,0,0,1,12
14,0,0,0.070686,0,0,0,2,14
15,0,0,0.06915199999999999,0,0,0,1,14
16,0,0,0.059686,0,0,0,0,14
17,0,0,0.05693499999999999,0,0,0,1,15
18,0,0,0.052023,0,0,0,1,16
19,0,0,0.051037,0,0,0,0,16
20,0,0,0.052795,0,0,0,0,16
21,0,0,0.048487999999999996,0,0,0,1,17
22,0,0,0.045684,0,0,0,2,17
23,0,0,0.043071000000000005,0,0,0,0,17
24,0,0,0.038294,0,0,0,0,17
25,0,0,0.041134000000000004,0,0,0,0,17
26,0,0,0.037081,0,0,0,0,17
27,0,0,0.038352,0,0,0,1,17
28,0,0,0.038229,0,0,0,1,16
29,0,0,0.03895,0,0,0,1,15
30,0,0,0.036997,0,0,0,0,15
31,0,0,0.035118,0,0,0,0,15
32,0,0,0.035248,0,0,0,1,16
33,0,0,0.036037,0,0,0,0,16
34,0,0,0.031672000000000006,0,0,0,1,17
35,0,0,0.034468,0,0,0,1,18
36,0,0,0.034141,0,0,0,0,18
37,0,0,0.035214999999999996,0,0,0,0,18
38,0,0,0.031902999999999994,0,0,0,1,19
39,0,0,0.031118000000000007,0,0,0,3,21
40,0,0,0.029918,0,0,0,1,22
41,0,0,0.030603999999999996,0,0,0,0,22
42,0,0,0.028388999999999998,0,0,0,0,22
43,0,0,0.031160000000000004,0,0,0,1,23
44,0,0,0.030889999999999997,0,0,0,0,23
45,0,0,0.029089999999999998,0,0,0,0,23
46,0,0,0.029281000000000005,0,0,0,2,25
47,0,0,0.028032000000000005,0,0,0,0,25
48,0,0,0.029164,0,0,0,1,24
49,0,0,0.030128,0,0,0,1,20
50,0,0,0.0272,0,0,0,0,20
51,0,0,0.027961,0,0,0,0,20
52,0,0,0.027741,0,0,0,0,20
53,0,0,0.027232000000000006,0,0,0,0,20
54,0,0,0.024919,0,0,0,0,20
55,0,0,0.025976,0,0,0,0,20
56,0,0,0.02613,0,0,0,1,21
57,0,0,0.026824,0,0,0,2,23
58,0,0,0.025511999999999996,0,0,0,0,23
59,0,0,0.025661,0,0,0,0,23
60,0,0,0.023504,0,0,0,2,24
61,0,0,0.024765,0,0,0,0,24
62,0,0,0.023679,0,0,0,1,25
63,0,0,0.024922,0,0,0,0,25
64,0,0,0.023882999999999998,0,0,0,0,25
65,0,0,0.025626,0,0,0,0,25
66,0,0,0.0233,0,0,0,0,25
67,0,0,0.024064,0,0,0,0,25
68,0,0,0.024495999999999997,0,0,0,1,21
69,0,0,0.022861000000000003,0,0,0,0,21
70,0,0,0.023514999999999998,0,0,0,0,21
71,0,0,0.022007,0,0,0,0,21
72,0,0,0.023346,0,0,0,0,21
73,0,0,0.022229000000000002,0,0,0,0,21
74,0,0,0.025086999999999998,0,0,0,0,21
75,0,0,0.025969000000000006,0,0,0,0,21
76,0,0,0.023431,0,0,0,0,21
77,0,0,0.022207,0,0,0,0,21
78,0,0,0.022683999999999996,0,0,0,0,21
79,0,0,0.020804000000000003,0,0,0,0,21
80,0,0,0.020767,0,0,0,0,21
81,0,0,0.020998000000000003,0,0,0,1,21
82,0,0,0.020589000000000003,0,0,0,0,21
83,0,0,0.021528,0,0,0,1,22
84,0,0,0.018765999999999998,0,0,0,1,23
85,0,0,0.020794999999999998,0,0,0,0,23
86,0,0,0.021038,0,0,0,0,23
87,0,0,0.019076,0,0,0,0,23
88,0,0,0.02102,0,0,0,1,24
89,0,0,0.021764999999999996,0,0,0,1,22
90,0,0,0.021358999999999996,0,0,0,0,22
91,0,0,0.018609999999999998,0,0,0,0,22
92,0,0,0.019476,0,0,0,0,22
93,0,0,0.021555,0,0,0,0,22
94,0,0,0.018838,0,0,0,1,23
95,0,0,0.01937,0,0,0,0,23
96,0,0,0.020779,0,0,0,0,23
97,0,0,0.018216,0,0,0,0,23
98,0,0,0.020195,0,0,0,0,23
99,0,0,0.019989,0,0,0,1,22
100,0,0,0.019667,0,0,0,0,22
101,0,0,0.017093999999999998,0,0,0,1,17
