generation,num_proposed,num_retained,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto
1,0,0,0,0,0,0,4,4
2,10000,500,0.516567,,1.0,,12,13
3,10000,500,0.134965,,0.9913,,7,7
4,10000,500,0.044681,,0.42200000000000004,,2,6
5,10000,500,0.011875,,0.2769,,5,6
6,10000,500,0.009025,,0.18510000000000001,,1,7
7,10000,500,0.005089,,0.1174,,3,9
8,10000,500,0.004651000000000001,,0.1281,,1,10
9,10000,500,0.004328,,0.0987,,2,12
10,10000,500,0.003604,,0.12200000000000001,,1,11
11,10000,500,0.003972000000000001,,0.09059999999999999,,1,9
12,10000,500,0.0032530000000000002,,0.09519999999999997,,0,9
13,10000,500,0.003754000000000001,,0.0872,,1,8
14,10000,500,0.003469,,0.09369999999999999,,1,9
15,10000,500,0.002945,,0.09570000000000001,,0,9
16,10000,500,0.0026969999999999997,,0.0582,,1,10
17,10000,500,0.003285,,0.08549999999999999,,1,11
18,10000,500,0.003055,,0.0662,,0,11
19,10000,500,0.0032770000000000004,,0.0771,,0,11
20,10000,500,0.002472,,0.0717,,1,12
21,10000,500,0.002728,,0.07559999999999999,,0,12
22,10000,500,0.0028880000000000004,,0.0732,,0,12
23,10000,500,0.002654,,0.06499999999999999,,1,13
24,10000,500,0.002648,,0.08319999999999998,,0,13
25,10000,500,0.0020660000000000006,,0.049400000000000006,,2,15
26,10000,500,0.002787,,0.0738,,0,15
27,10000,500,0.002234,,0.061200000000000004,,1,12
28,10000,500,0.002101,,0.0507,,0,12
29,10000,500,0.0021899999999999997,,0.0626,,0,12
30,10000,500,0.0018689999999999998,,0.0454,,0,12
31,10000,500,0.0015190000000000002,,0.0344,,0,12
32,10000,500,0.002341,,0.04989999999999999,,1,13
33,10000,500,0.0017310000000000003,,0.047799999999999995,,0,13
34,10000,500,0.002382,,0.0605050505050505,,0,13
35,10000,500,0.0026899999999999997,,0.0535,,1,14
36,10000,500,0.0014410000000000002,,0.04505050505050504,,1,15
37,10000,500,0.001973,,0.045899999999999996,,1,16
38,10000,500,0.001191,,0.048600000000000004,,1,16
39,10000,500,0.0018670000000000002,,0.049300000000000004,,1,17
40,10000,500,0.002072,,0.0452,,0,17
41,10000,500,0.001789,,0.0693,,0,17
42,10000,500,0.0021100000000000003,,0.06499999999999999,,0,17
43,10000,500,0.001825,,0.0614,,0,17
44,10000,500,0.002013,,0.0733,,1,18
45,10000,500,0.001599,,0.06600000000000002,,0,18
46,10000,500,0.001296,,0.0398,,0,18
47,10000,500,0.0014089999999999999,,0.0431,,0,18
48,10000,500,0.0016719999999999999,,0.055999999999999994,,1,19
49,10000,500,0.001621,,0.045200000000000004,,0,19
50,10000,500,0.001442,,0.051800000000000006,,0,19
51,10000,500,0.001387,,0.0443,,0,19
52,10000,500,0.001282,,0.0365,,0,19
53,10000,500,0.001082,,0.033400000000000006,,0,19
54,10000,500,0.001487,,0.0383,,0,19
55,10000,500,0.001789,,0.0434,,0,19
56,10000,500,0.0012870000000000002,,0.045599999999999995,,0,19
57,10000,500,0.001239,,0.0377,,0,19
58,10000,500,0.0016950000000000003,,0.0349,,0,19
59,10000,500,0.001065,,0.045599999999999995,,0,19
60,10000,500,0.001768,,0.052399999999999995,,0,19
61,10000,500,0.0017520000000000003,,0.048499999999999995,,0,19
62,10000,500,0.001289,,0.0416,,0,19
63,10000,500,0.001577,,0.0409,,0,19
64,10000,500,0.001253,,0.0435,,0,19
65,10000,500,0.001336,,0.0504,,0,19
66,10000,500,0.001464,,0.05,,0,19
67,10000,500,0.0014449999999999999,,0.03439999999999999,,0,19
68,10000,500,0.0013130000000000001,,0.0454,,0,19
69,10000,500,0.0011899999999999999,,0.041299999999999996,,0,19
70,10000,500,0.001349,,0.046799999999999994,,0,19
71,10000,500,0.001245,,0.0396,,0,19
72,10000,500,0.0012640000000000001,,0.04780000000000001,,0,19
73,10000,500,0.00124,,0.0388,,0,19
74,10000,500,0.0016060000000000002,,0.0481,,0,19
75,10000,500,0.001719,,0.0472,,0,19
76,10000,500,0.0014609999999999998,,0.046799999999999994,,0,19
77,10000,500,0.001233,,0.044,,0,19
78,10000,500,0.001115,,0.03470000000000001,,0,19
79,10000,500,0.001404,,0.048499999999999995,,0,19
80,10000,500,0.001382,,0.041399999999999985,,0,19
81,10000,500,0.0010150000000000003,,0.043899999999999995,,0,19
82,10000,500,0.001452,,0.0366,,0,19
83,10000,500,0.000997,,0.04019999999999999,,0,19
84,10000,500,0.0017219999999999998,,0.0592,,1,20
85,10000,500,0.001248,,0.037,,0,20
86,10000,500,0.001049,,0.028999999999999995,,0,20
87,10000,500,0.000771,,0.030500000000000003,,0,20
88,10000,500,0.00114,,0.036199999999999996,,0,20
89,10000,500,0.0008089999999999999,,0.036599999999999994,,0,20
90,10000,500,0.001214,,0.03409999999999999,,0,20
91,10000,500,0.0012230000000000001,,0.039900000000000005,,1,20
92,10000,500,0.000999,,0.0395,,0,20
93,10000,500,0.0009520000000000002,,0.024700000000000003,,0,20
94,10000,500,0.000976,,0.0371,,0,20
95,10000,500,0.0010379999999999999,,0.036399999999999995,,0,20
96,10000,500,0.000645,,0.03,,0,20
97,10000,500,0.000916,,0.031599999999999996,,0,20
98,10000,500,0.000942,,0.033,,0,20
99,10000,500,0.0010190000000000002,,0.042699999999999995,,0,20
100,10000,500,0.0008650000000000002,,0.0276,,0,20
101,10000,500,0.001115,,0.0418,,0,20
