generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,0.099075,0.0,-6.679905,40.9,0.003780,4.0,-2.344638,44.4,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'methyl_ester', 'smiles_inds': [4]}]"
1,0.110649,0.5,-3.060672,60.6,0.005106,4.5,-5.785813,14.6,O=C([N-]CCON(=O)=O)c1ccccn1,"[14, 2]","[{'functional_group': 'carboxyl', 'smiles_inds': [11]}, {'functional_group': 'amino', 'smiles_inds': [4]}]"
1,0.481696,1.0,-1.412582,85.9,0.082353,61.1,-7.319885,8.1,CNCCCN=Cc1c([O-])ccc2ccccc12,"[9, 1, 5]",[]
1,1.004562,3.0,-1.668777,80.8,0.028473,35.4,-8.254791,5.6,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
1,1.112868,4.5,-6.244544,41.9,0.072755,58.1,-2.690693,37.9,COc1ccc(CNC(=S)NN=Cc2ccccn2)cc1,"[9, 11]",[]
1,1.520544,8.1,-7.007615,38.9,0.011256,17.2,-0.407788,89.9,CC(=N)C=N,"[2, 4]","[{'functional_group': 'bromo', 'smiles_inds': [0]}]"
1,1.524791,8.6,-6.964446,38.9,0.026203,33.8,-0.548611,86.4,CCN1C(=O)CSC1=NN=C(N)c1ccccn1,"[17, 9]",[]
1,1.977653,10.6,-5.883104,44.4,0.350414,79.3,-12.278606,2.0,CC(=NN=C([O-])c1ccccc1)C1=Cc2ccc([O-])cc2OC1=O,"[23, 5, 2]","[{'functional_group': 'chloro', 'smiles_inds': [0]}]"
1,2.167853,11.6,-6.752051,40.9,0.091026,61.6,-0.555565,86.4,CC1(CNCCNC1)NCOCN1CCNCC(C)(C1)N=C,"[12, 15, 20, 3, 6, 8]","[{'functional_group': 'aldehyde', 'smiles_inds': [18]}]"
1,2.270923,12.1,-7.205756,36.4,0.139302,68.2,-2.993783,34.3,N#CCCN1C=CN=C1CC1=NC=CN1CCC#N,"[7, 11]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [3]}, {'functional_group': 'ethyl', 'smiles_inds': [12]}]"
1,2.665901,13.6,-6.402292,41.9,0.434873,82.8,-8.282575,5.6,CC(=O)C(N=Nc1ccc(cc1[O-])C(O)=O)=C(C)[O-],"[18, 5, 12]","[{'functional_group': 'tribromo', 'smiles_inds': [10]}]"
1,2.728766,15.2,-6.781231,39.9,0.077468,58.6,-2.507204,39.4,Oc1cccc2ccc(CN3CCSCc4cccc(CSCC3)n4)nc12,"[21, 13, 0, 24, 10, 25]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [6]}, {'functional_group': 'ketone', 'smiles_inds': [4]}]"
1,2.894565,16.7,-6.833689,39.4,0.338940,79.3,-4.920109,21.7,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1ccccn1,"[24, 2, 15]",[]
1,3.026156,17.2,-3.597750,57.1,0.017175,22.2,-2.539124,39.4,CCNC([S-])=NN=CC1=CNc2ccccc12,"[4, 6]",[]
1,3.039967,17.7,-5.772981,45.5,0.079320,59.6,-5.870001,14.1,CCCCN1C=NN=N1,[6],[]
1,3.855506,23.2,-8.279867,32.3,0.009362,12.1,-1.221071,64.6,CCNC(=S)NN=CC1=CC=C(O1)N(=O)=O,"[6, 4]",[]
1,4.611863,25.8,-6.220200,42.4,0.535923,83.3,-8.817940,4.5,Cc1cc(C=NN=C([O-])C(C)(C)C)c([O-])c(c1)C(O)=O,"[14, 5, 8]",[]
1,4.942627,27.8,-14.173620,10.6,0.175533,72.2,-8.230869,5.6,CC12CNCCNCC([NH2+]CC3=CSC=C3)(CNCCNC1)CNCCNC2,"[17, 26, 20, 6, 23, 3]",[]
1,5.328965,29.3,-6.109434,42.9,0.021826,28.3,-3.635000,29.3,CC1=CC=C(O1)C=NNC(N)=S,"[11, 7]","[{'functional_group': 'phosphonate', 'smiles_inds': [10]}]"
1,5.463205,29.8,-14.398364,9.6,1.360345,94.4,-6.651119,10.1,[NH3+]C12CNCCSCC(CO)(CSCCNC1)CSCCNC2,"[6, 12, 18, 3, 15, 21]","[{'functional_group': 'ketone', 'smiles_inds': [2]}]"
1,5.952153,32.3,-6.286277,41.9,0.006661,7.1,-2.802830,36.4,Cc1cccc(N=CNc2nccc(C)n2)n1,"[16, 6]","[{'functional_group': 'trichloro', 'smiles_inds': [0]}, {'functional_group': 'ketone', 'smiles_inds': [7]}]"
1,6.241286,34.3,-6.390841,41.9,0.002993,3.5,-4.767400,23.7,CCC[NH+]=Cc1cc(Cl)cc(C=NCCC)c1[O-],"[12, 17]","[{'functional_group': 'trifluro', 'smiles_inds': [14]}]"
1,7.452405,39.4,-2.972540,61.6,0.001577,1.5,-4.159947,26.3,c1ccc(nc1)C1=NC(=N[N-]1)c1ccncc1,"[10, 4]",[]
1,8.336873,43.4,-6.075449,42.9,0.015644,21.2,-4.790211,23.7,Nc1ncc(cn1)c1ccc(nc1)c1ccccn1,"[11, 18]","[{'functional_group': 'ketone', 'smiles_inds': [15]}]"
1,8.764825,45.5,-8.304868,32.3,0.011542,17.2,-2.956983,34.3,O=Cc1ccncc1,[5],"[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [3]}]"
1,10.136581,52.0,-23.226981,4.5,0.615559,85.4,-1.569116,56.1,[NH3+]C12CNCCNCC([NH2+]Cc3ccccc3O)(CNCCNC1)CNCCNC2,"[6, 3, 19, 22, 25, 28]","[{'functional_group': 'phosphonate', 'smiles_inds': [18]}, {'functional_group': 'amino', 'smiles_inds': [14]}]"
1,10.194597,52.5,-2.138103,71.7,0.088712,61.6,-7.023566,9.1,Brc1ccc([O-])c(C=NCCN(CCN=Cc2cc(Br)ccc2[O-])CCN=Cc2cc(Br)ccc2[O-])c1,"[5, 23, 35, 8, 14, 26]","[{'functional_group': 'cyanimide', 'smiles_inds': [29]}, {'functional_group': 'phosphonate', 'smiles_inds': [27]}]"
1,10.220152,53.0,-26.698011,3.5,0.026608,34.3,-6.773667,9.6,O=C(Nc1cccc2[nH+]cccc12)C1=CNC=N1,"[0, 17]",[]
1,11.643402,59.6,-3.864147,55.6,0.015963,21.7,-6.901034,9.6,COc1cnc(nc1)[N-]S(=O)(=O)c1ccc(N)cc1,"[8, 6]",[]
1,12.140581,61.6,-4.542474,52.0,0.009357,12.1,-8.652970,5.1,O=C([O-])c1ccnc(n1)c1ccccn1,"[14, 6]",[]
1,12.579832,64.6,-25.866563,3.5,0.002338,2.5,-2.217911,46.0,[nH+]1c2ccccc2nc2c1c1cccnc1c1ncccc21,"[14, 17]",[]
1,12.590603,65.2,-6.195852,42.4,0.001302,1.0,-0.061425,100.0,c1ccc(cc1)c1ccc(nc1)c1ccc(cn1)c1ccccc1,"[17, 10]",[]
1,13.718283,67.2,-3.318851,60.1,0.007782,9.1,-4.786746,23.7,Oc1cccc(n1)C(=O)[O-],"[6, 9]",[]
1,18.253718,78.3,-3.003790,61.1,0.059077,53.0,-10.283029,3.5,OCC(N=Cc1cc(ccc1[O-])N(=O)=O)c1ccccc1,"[11, 0, 3]",[]
1,18.911677,78.8,-6.003786,43.4,0.041749,41.4,-9.893768,3.5,O=C([O-])CN(CC(=O)[O-])Cc1ccc(cc1)N(=O)=O,"[2, 8, 4]","[{'functional_group': 'ether', 'smiles_inds': [12]}]"
1,19.462945,80.3,-8.739493,29.8,0.798720,88.9,-14.115500,1.5,[NH3+]CCN(CCN)CC(=O)[O-],"[6, 10, 3]",[]
1,23.388474,84.8,-5.333974,47.5,0.020971,26.3,-6.829519,9.6,CN(C)c1ccc(cc1)N=NC1=Nc2ccccc2S1,"[12, 9]","[{'functional_group': 'ethyl', 'smiles_inds': [14]}]"
1,29.192670,91.9,-3.072684,60.6,0.006315,5.6,-4.796302,23.7,O=S1(=O)c2ccccc2c2c[c-]c(cc12)c1ccccn1,"[11, 20]","[{'functional_group': 'aldehyde', 'smiles_inds': [7]}, {'functional_group': 'carbonyl', 'smiles_inds': [17]}, {'functional_group': 'iodo', 'smiles_inds': [6]}]"
1,33.951045,96.0,-2.138346,71.7,0.004051,4.0,-5.205830,20.2,Fc1c[c-]c(cc1C(F)(F)F)c1ccccn1,"[3, 16]",[]
1,39.369425,97.5,-6.242731,41.9,0.103000,63.1,-14.514334,1.5,O=N(=O)c1ccc([O-])c(C=NN=C([S-])N2CCCCC2)c1,"[13, 7, 11]",[]
2,0.038943,0.0,-6.434331,46.8,0.041676,41.0,-16.860038,2.7,OCC(CO)(C[O-])N=Cc1cc(cc(c1[O-])N(=O)=O)N(=O)=O,"[6, 7, 15]",[]
2,0.099075,0.3,-6.679905,44.1,0.003780,4.1,-2.344638,54.6,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'methyl_ester', 'smiles_inds': [4]}]"
2,0.110649,0.7,-3.060672,67.8,0.005106,5.8,-5.785813,24.7,O=C([N-]CCON(=O)=O)c1ccccn1,"[14, 2]","[{'functional_group': 'carboxyl', 'smiles_inds': [11]}, {'functional_group': 'amino', 'smiles_inds': [4]}]"
2,0.286603,1.0,-25.838471,4.1,0.057515,52.9,-5.305759,29.8,[O-]C(=NN=Cc1[nH+]c2ccccc2cc1)c1[nH+]cccc1,"[0, 3]","[{'functional_group': 'carboxyl', 'smiles_inds': [9]}, {'functional_group': 'amide', 'smiles_inds': [13]}]"
2,0.309035,1.4,-6.435941,46.8,0.015755,22.0,-3.544660,41.7,N1C=NC(=N1)C1=NC(=NN1)c1cnccn1,"[6, 15]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [13]}]"
2,1.004562,4.7,-1.668777,85.8,0.028473,36.3,-8.254791,13.9,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
