train_iteration,target,bootstrap,cosine_meta_base,mean_abs_delta,meta_gini,base_gini,norm_par,norm_perp,perp_over_par,topk_overlap_with_base
1,sco_kcal,0,0.9789590835571289,0.004144824575632811,0.7988926971741956,0.9463153146485945,0.6218802332878113,2.5305256843566895,4.069152786828555,0.96
1,sco_kcal,1,0.3507634997367859,0.008052338846027851,0.654891184636389,0.9647576859233578,1.3539774417877197,0.008414377458393574,0.006214562516849378,0.3
1,sco_kcal,2,0.1994205117225647,0.005036127287894487,0.6123117199434884,0.9735934666655941,0.6468315124511719,0.08956452459096909,0.1384665447908742,0.16
1,sco_kcal,3,0.1614469289779663,0.01841112971305847,0.6360607084384011,0.9573190131402072,2.790580987930298,0.02536475658416748,0.009089417828715255,0.04
1,sco_kcal,4,0.3405974209308624,0.006847620941698551,0.6299073325241229,0.9284664514408114,1.1264454126358032,0.28172188997268677,0.2500981288684707,0.2
1,sco_kcal,5,0.4320598244667053,0.012163598090410233,0.5880767609988236,0.9210714201105454,1.6670094728469849,0.44966748356819153,0.2697450079874061,0.22
1,sco_kcal,6,0.08742415904998779,0.004748454317450523,0.6319295778784042,0.9640635823168286,0.7042841911315918,0.011592141352593899,0.016459465509183875,0.06
1,sco_kcal,7,0.6471489071846008,0.01166421640664339,0.6376814361584504,0.9307872414079907,1.5970202684402466,1.2398263216018677,0.7763372488770993,0.38
1,sco_kcal,8,0.6378354430198669,0.01039845310151577,0.6495258325472562,0.8829260837236379,1.7401764392852783,0.8457227945327759,0.4859983019193901,0.36
1,sco_kcal,9,0.8323113918304443,0.004695633891969919,0.6915911518409059,0.9570676662768804,0.7134199142456055,0.5349662899971008,0.7498617284363199,0.7
1,sco_kcal,10,0.35298672318458557,0.005635054782032967,0.6282357838449282,0.9691640591927331,0.9272239208221436,0.22658312320709229,0.24436721068001283,0.16
1,sco_kcal,11,0.3068658709526062,0.013132770545780659,0.5926939842870245,0.9716470650423008,1.7289987802505493,0.14388389885425568,0.08321804532065977,0.22
1,sco_kcal,12,0.44829168915748596,0.00654614670202136,0.6045856498636752,0.9239078167992714,1.0623284578323364,0.2915240228176117,0.2744198563714104,0.3
1,sco_kcal,13,0.28357741236686707,0.027803173288702965,0.5607378528167493,0.915705185761277,3.1345598697662354,0.346035361289978,0.11039360409976286,0.18
1,sco_kcal,14,0.11848214268684387,0.07514815032482147,0.5726237602175464,0.960446172712081,8.624401092529297,0.4955492615699768,0.057458976716567106,0.02
