generation,num_attempted,num_proposed,num_retained,num_selected_A,num_selected_B,num_valid,num_repeated,num_success_repeated,num_timeout,avg_time_success,avg_time_fail,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto,num_group_A,num_group_B,num_group_C
1,500,500,500,-1,-1,135,0,0,152,1263.0085949367947,316.70199683798313,0,0,0,0,25,25,500,0,0
2,57830,49886,3000,2850,150,80,0,0,73,782.1657140731811,467.9137833913167,0.4746239826805116,0.2906463904560558,0.8817733333333334,0.1928671955360458,22,40,40811,4428,4647
3,57177,49897,3000,2850,150,78,0,0,86,949.2835065156986,451.1027338767753,0.3877506864140129,0.3150748075369809,0.8162933333333333,0.22428963727474127,23,59,40678,4467,4752
4,56432,49909,3000,2850,150,110,0,0,70,824.8109674952246,499.1612675249577,0.35027990943517207,0.335079036960952,0.70744,0.2929400296086884,25,56,40266,4716,4927
5,56907,49874,3000,2850,150,128,0,0,71,938.8693661931902,398.9116285390193,0.3579275774952881,0.3496212958759185,0.66516,0.4437659917116675,22,72,40287,4808,4779
6,56669,49889,3000,2850,150,125,0,0,70,941.2926253795624,474.8851829528809,0.3764375313195293,0.34805644747694303,0.6744666666666668,0.40917908112991913,24,88,40381,4734,4774
7,56591,49899,3000,2850,150,152,0,0,69,974.9675882129293,396.71364103087893,0.39365903124311113,0.34997736660900436,0.67212,0.49906297191221277,15,99,40194,4830,4875
8,56807,49894,3000,2850,150,140,0,0,62,901.8723412156105,388.5085800210225,0.4177410510281797,0.3474386287320166,0.686180602006689,0.47610029393061726,13,102,40216,4796,4882
9,56781,49894,3000,2850,150,123,0,0,69,929.198183763318,431.6403401008359,0.4694841063053674,0.3494611636173743,0.7265333333333334,0.4239535807317816,15,110,40298,4761,4835
10,56542,49891,3000,2850,150,126,0,0,66,930.8455927220601,262.7863074717698,0.5068890982341504,0.35529153769860794,0.7500933333333333,0.45746801761413336,19,116,40143,4947,4801
11,56704,49904,3000,2850,150,124,0,0,53,933.0612782489869,178.14105334126853,0.6486907662712408,0.35357198927035477,0.9384933333333333,0.4346952115586379,24,126,40065,4974,4865
12,57050,49897,3000,2850,150,122,0,0,49,880.0039224566007,182.58110376106677,0.6385840431288454,0.3581333953536831,0.9488533333333332,0.4608326211694262,13,139,40172,4921,4804
13,56956,49892,3000,2850,150,131,0,0,51,923.8421763827782,146.9707842479318,0.6479780325503086,0.3572552016758895,0.95652,0.4684181950318329,21,153,40287,4927,4678
14,56763,49905,3000,2850,150,131,0,0,62,943.0428937828268,171.13590321362577,0.6359329125338142,0.3527947906799616,0.9356666666666669,0.4528196191823686,21,164,40206,4867,4832
15,57161,49895,3000,2850,150,123,0,0,55,896.8730100538672,165.15847435935598,0.6216105822226675,0.3587216320109767,0.9085200000000001,0.44429518808138835,12,173,40218,4938,4739
16,57123,49902,3000,2850,150,137,0,0,55,964.2250455870245,139.4324616966424,0.6406773275620216,0.3533985193984438,0.9356533333333332,0.4354827499324338,17,137,40293,4937,4672
17,57638,49889,3000,2850,150,132,0,0,60,996.2406198707494,139.17308951086468,0.6535289943674958,0.35237248036314867,0.9246933333333334,0.4597793820066342,22,157,40550,4987,4352
18,57930,49888,3000,2850,150,122,0,0,50,777.3046812972084,133.45373470149934,0.62817118345093,0.3552190430161571,0.9075333333333333,0.43305505193540605,22,179,40615,4973,4300
19,57898,49890,3000,2850,150,134,0,0,50,959.4098292446848,96.72390205079111,0.6289333333333333,0.35227091838093666,0.9174400000000001,0.4426681637049409,19,198,40907,4773,4210
20,57762,49885,3000,2850,150,110,0,0,64,887.1483605298129,129.0952685238823,0.6285434900270622,0.3553710812779695,0.9200133333333333,0.39776362405471277,17,213,40679,4884,4322
21,57991,49887,3000,2850,150,131,0,0,56,853.2807699050612,140.1824805546651,0.639707098041574,0.3712972549254136,0.9171333333333332,0.46630251021939323,26,239,40683,4933,4271
22,58172,49896,3000,2850,150,120,0,0,56,968.1026718795299,127.71557228933504,0.607580888247555,0.3729694553253964,0.9063277591973244,0.4257623221734955,18,255,40868,4853,4175
