generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,0.373582,0.0,-6.706620,41.5,0.000671,0.0,-2.498118,36.3,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'ether', 'smiles_inds': [16]}]"
1,1.004562,2.2,-1.668777,79.3,0.028473,40.7,-8.254791,5.2,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
1,1.168465,3.7,-6.937387,40.0,0.066648,54.8,-7.980815,5.9,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1ccccn1,"[24, 2, 15]",[]
1,1.514365,7.4,-7.012856,40.0,0.004891,9.6,-0.358269,85.9,CC(=N)C=N,"[2, 4]","[{'functional_group': 'phosphonate', 'smiles_inds': [3]}]"
1,2.134260,11.9,-6.088591,42.2,0.254315,76.3,-8.774236,3.7,CC(=O)C(N=Nc1ccc(cc1[O-])C(O)=O)=C(C)[O-],"[18, 5, 12]","[{'functional_group': 'hydroxyl', 'smiles_inds': [14]}]"
1,3.032468,18.5,-3.597377,55.6,0.016252,26.7,-2.523257,36.3,CCNC([S-])=NN=CC1=CNc2ccccc12,"[4, 6]",[]
1,3.169889,20.0,-9.217717,26.7,0.183838,70.4,-7.527263,6.7,CCOC(=O)C1=C(N)NN=C1,[9],"[{'functional_group': 'ethyl', 'smiles_inds': [1]}, {'functional_group': 'phenyl', 'smiles_inds': [8]}]"
1,3.607719,23.0,-5.885480,43.7,0.357286,79.3,-12.326346,0.7,CC(=NN=C([O-])c1ccccc1)C1=Cc2ccc([O-])cc2OC1=O,"[23, 5, 2]","[{'functional_group': 'chloro', 'smiles_inds': [16]}]"
1,3.773365,24.4,-2.106590,70.4,0.016056,25.9,-4.488542,19.3,Clc1ccc2[N-]C(=Cc2c1)c1ccccn1,"[15, 5]",[]
1,3.928872,25.9,-8.277189,32.6,0.019701,31.9,-1.527473,54.1,CCNC(=S)NN=CC1=CC=C(O1)N(=O)=O,"[6, 4]",[]
1,5.328965,34.8,-6.109434,42.2,0.021826,33.3,-3.635000,23.0,CC1=CC=C(O1)C=NNC(N)=S,"[11, 7]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [8]}, {'functional_group': 'chloro', 'smiles_inds': [6]}]"
1,5.952153,38.5,-6.286277,42.2,0.006661,12.6,-2.802830,31.1,Cc1cccc(N=CNc2nccc(C)n2)n1,"[16, 6]","[{'functional_group': 'thiol', 'smiles_inds': [11]}]"
1,6.535531,40.7,-9.371553,25.9,0.036932,46.7,-0.493466,82.2,NC1C=C(Cl)C(=CC1=Nc1c(Cl)cccc1Cl)Cl,"[0, 8]","[{'functional_group': 'hydroxyl', 'smiles_inds': [6]}, {'functional_group': 'carboxyl', 'smiles_inds': [12]}]"
1,7.452405,46.7,-2.972540,58.5,0.001577,3.0,-4.159947,21.5,c1ccc(nc1)C1=NC(=N[N-]1)c1ccncc1,"[10, 4]",[]
1,8.336873,50.4,-6.075449,43.0,0.015644,24.4,-4.790211,18.5,Nc1ncc(cn1)c1ccc(nc1)c1ccccn1,"[11, 18]","[{'functional_group': 'chloro', 'smiles_inds': [17]}, {'functional_group': 'thiol', 'smiles_inds': [12]}]"
1,8.682035,52.6,-8.258366,32.6,0.015747,24.4,-1.970472,47.4,O=Cc1ccncc1,[5],"[{'functional_group': 'ethyl', 'smiles_inds': [3]}, {'functional_group': 'carboxylate', 'smiles_inds': [1]}]"
1,9.266031,55.6,-7.132210,38.5,0.002086,4.4,-0.664251,77.8,CCOC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)OCC,"[9, 16]",[]
1,10.389162,60.7,-14.287723,9.6,0.144899,66.7,-7.927023,5.9,CC12CNCCNCC([NH2+]CC3=CSC=C3)(CNCCNC1)CNCCNC2,"[17, 26, 20, 6, 23, 3]",[]
1,12.254809,68.9,-4.509258,50.4,0.009735,17.0,-8.028889,5.9,O=C([O-])c1ccnc(n1)c1ccccn1,"[14, 6]",[]
1,12.360701,70.4,-14.460998,8.9,1.487652,94.1,-7.053191,8.9,[NH3+]C12CNCCSCC(CO)(CSCCNC1)CSCCNC2,"[6, 12, 18, 3, 15, 21]","[{'functional_group': 'carboxyl', 'smiles_inds': [4]}]"
1,12.579832,71.1,-25.866563,1.5,0.002338,5.2,-2.217911,43.7,[nH+]1c2ccccc2nc2c1c1cccnc1c1ncccc21,"[14, 17]",[]
1,13.709838,74.1,-3.300562,57.8,0.003931,7.4,-4.663162,19.3,Oc1cccc(n1)C(=O)[O-],"[6, 9]",[]
1,18.283325,83.0,-2.965133,58.5,0.064416,54.1,-9.302032,3.7,OCC(N=Cc1cc(ccc1[O-])N(=O)=O)c1ccccc1,"[11, 0, 3]",[]
1,29.221754,94.8,-3.072305,58.5,0.005949,11.9,-4.815220,17.8,O=S1(=O)c2ccccc2c2c[c-]c(cc12)c1ccccn1,"[11, 20]","[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [13]}]"
1,33.951045,98.5,-2.138346,70.4,0.004051,7.4,-5.205830,16.3,Fc1c[c-]c(cc1C(F)(F)F)c1ccccn1,"[3, 16]",[]
2,0.047118,0.0,-6.663733,48.4,0.095491,64.2,-2.034115,52.1,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'ether', 'smiles_inds': [16]}, {'functional_group': 'amide', 'smiles_inds': [25]}, {'functional_group': 'bromo', 'smiles_inds': [17]}]"
2,0.129985,0.5,-6.687270,48.4,0.003284,7.9,-2.394251,45.1,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'bromo', 'smiles_inds': [4]}, {'functional_group': 'carboxylate', 'smiles_inds': [16]}]"
