generation,section,smiles,coordList,functionalization,success_prob
0,bottom,CCC(C)(C)c1cc(C(c2cc(cc(c2OCCCNC(=O)CP(=S)(c2ccccc2)c2ccccc2)C(C)(C)CC)C(C)(C)CC)c2cc(cc(c2OCCCNC(=O)CP(=S)(c2ccccc2)c2ccccc2)C(C)(C)CC)C(C)(C)CC)c(OCCCNC(=O)CP(=S)(c2ccccc2)c2ccccc2)c(c1)C(C)(C)CC,"[21, 59, 92]",[],1.7839196682456146e-22
0,bottom,CC(C)c1cccc(C(C)C)c1c1cc(NCCN(CCNc2cc(cc(c2)c2c(cccc2C(C)C)C(C)C)c2c(cccc2C(C)C)C(C)C)CCNc2cc(cc(c2)c2c(cccc2C(C)C)C(C)C)c2c(cccc2C(C)C)C(C)C)cc(c1)c1c(cccc1C(C)C)C(C)C,"[18, 15, 21]",[],3.7338074569349507e-22
0,bottom,CCC1(CC)CC(CC)(CC)c2c(PCc3cccc(C=Pc4c5c(cc6c4C(CC)(CC)CC6(CC)CC)C(CC)(CC)CC5(CC)CC)n3)c3c(cc12)C(CC)(CC)CC3(CC)CC,"[13, 21, 50]",[],5.561988267843813e-22
0,bottom,CC(C)c1cccc(C(C)C)c1c1cc(NCCN(CCNc2cc(cc(c2)c2c(cccc2C(C)C)C(C)C)c2c(cccc2C(C)C)C(C)C)CCNc2cc(cc(c2)c2c(cccc2C(C)C)C(C)C)c2c(cccc2C(C)C)C(C)C)cc(c1)c1c(cccc1C(C)C)C(C)C,"[18, 15, 21]","[{'functional_group': 'hydroxyl', 'smiles_inds': [76]}, {'functional_group': 'bromo', 'smiles_inds': [53]}]",5.704044368804148e-22
0,bottom,CCCOc1c2Cc3cc(cc(Cc4cccc(Cc5cc(cc(Cc1ccc2)c5OCCC)c1cccc(c1)c1cc2Cc5cccc(Cc6cc(cc(Cc7cccc(Cc(c1)c2OCCC)c7OCCC)c6OCCC)P(c1ccccc1)c1ccccc1)c5OCCC)c4OCCC)c3OCCC)P(c1ccccc1)c1ccccc1,"[107, 79]",[],1.4150572325989475e-21
0,bottom,CCC1(CC)CC(CC)(CC)c2c(PCc3cccc(C=Pc4c5c(cc6c4C(CC)(CC)CC6(CC)CC)C(CC)(CC)CC5(CC)CC)n3)c3c(cc12)C(CC)(CC)CC3(CC)CC,"[13, 21, 50]","[{'functional_group': 'chloro', 'smiles_inds': [60]}, {'functional_group': 'bromo', 'smiles_inds': [56]}]",1.7341844421321683e-21
0,bottom,COC(=O)C(C)(C)NC(=O)C(NC(=O)C1(CCCCC1)NC(=O)C(C)(C)NC(=O)C1(CCCCC1)NC(=O)C(C)(C)NC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)NC(C)(C)C(=O)NC1(CCCCC1)C(=O)NC(C)(C)C(=O)NC1(CCCCC1)C(=O)NC(C(C)C)C(=O)NC(C)(C)C(=O)OC)C(C)C,"[55, 48]",[],4.8065561810816125e-21
0,bottom,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)[Si]1(N(C)C)P2[Si](c3c(cc(cc3C(C)C)C(C)C)C(C)C)(c3c(cc(cc3C(C)C)C(C)C)C(C)C)[Si]12c1c(cc(cc1C(C)C)C(C)C)C(C)C,[19],[],1.9608444332550706e-20
0,bottom,CCC1(CC)CC(CC)(CC)c2c1cc1c(c2P=Cc2cccc(C=Pc3c4c(cc5c3C(CC)(CC)CC5(CC)CC)C(CC)(CC)CC4(CC)CC)n2)C(CC)(CC)CC1(CC)CC,"[17, 25, 54]","[{'functional_group': 'bromo', 'smiles_inds': [53]}, {'functional_group': 'ether', 'smiles_inds': [63]}]",2.1751136971866882e-20
0,bottom,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)[Si](F)(P1P[Si]1(c1c(cc(cc1C(C)C)C(C)C)C(C)C)c1c(cc(cc1C(C)C)C(C)C)C(C)C)c1c(cc(cc1C(C)C)C(C)C)C(C)C,[18],"[{'functional_group': 'phosphonate', 'smiles_inds': [42]}]",3.0867579888117233e-20
